throttle,steer,vx,vy,yawdot,dt,slip_front,slip_back,ay,fy
1.0,0.16293049,1.8952644,0.21347918,0.12705266,0.020196004,0.15664078,-0.020358475,,
1.0,0.01871018,3.5855503,0.10565282,0.06299939,0.022287097,0.042316385,-0.0055204127,-4.83806213074767,-8926.224631229452
1.0,0.004554774,3.7526932,0.07530553,0.04573993,0.020006057,0.0290358,-0.0041981637,-1.5169051052888631,-2798.6899192579526
1.0,-0.008136061,3.8995824,0.04670019,0.02766353,0.019343194,0.017207852,-0.0021569396,-1.4788322962588283,-2728.4455865975383
1.0,-0.01955576,4.039103,0.018061368,0.008136643,0.02244363,0.005936164,0.00043199735,-1.276033422400922,-2354.281664329701
1.0,-0.06712805,5.186281,-0.1692277,-0.11386648,0.021018878,-0.04920487,0.011066923,-8.910516917220795,-16439.903712272368
1.0,-0.023120297,6.8589163,-0.11437337,-0.08575336,0.0238037,-0.026287703,0.008209908,2.3044455273759965,4251.701998008713
1.0,-0.016554607,7.2065907,-0.08848337,-0.06728466,0.019782588,-0.019474624,0.006307365,1.3087266438546865,2414.6006579118966
1.0,-0.009455713,7.647974,-0.05622204,-0.04599649,0.020129558,-0.012005044,0.0046167797,1.602684470270038,2956.95284764822
1.0,-0.01026097,8.088409,-0.037690975,-0.030979868,0.021269176,-0.0076295226,0.0029637855,0.8712638891135227,1607.4818754144494
1.0,-0.022906214,8.639675,-0.05413691,-0.043383703,0.021390734,-0.010165229,0.0037335875,-0.7688345336817335,-1418.4997146427984
1.0,-0.042840067,9.05811,-0.09758789,-0.079241045,0.019552045,-0.01757613,0.006649112,-2.222324058685421,-4100.187888274601
1.0,-0.10979417,9.966521,-0.2847129,-0.25994083,0.02006628,-0.048901975,0.023357222,-9.325346302353998,-17205.263927843127
1.0,0.12633505,11.2646885,-0.10428861,-0.19989422,0.096421935,-0.023243608,0.025995718,1.87119549094301,3452.3556807898535
1.0,-0.3009199,14.941488,-0.84610283,-0.72678465,0.01981117,-0.09462279,0.040364124,-37.444240799508556,-69084.62427509329
1.0,-0.061194737,15.929548,0.06696392,-0.874914,0.023032242,-0.039467026,0.11285856,39.64298178179961,73141.30138742029
1.0,0.08074805,17.768583,0.43080285,0.33594105,0.020140087,0.039130054,-0.013490975,18.06541004515025,33330.68153330222
1.0,0.07455392,18.023558,0.2886067,0.37985942,0.019526998,0.0326803,-0.025988609,-7.282028195014924,-13435.342019802534
1.0,0.07132071,18.145948,0.21845672,0.39273047,0.023254922,0.029184006,-0.031065624,-3.016564837327771,-5565.562124869737
1.0,0.06495431,18.29057,0.13891487,0.39956176,0.019888306,0.024929587,-0.035883892,-3.999428106144384,-7378.944855836388
1.0,0.040737603,18.939703,-0.1746865,0.36433354,0.019180538,0.006133439,-0.047410227,-16.34997777434606,-30165.70899366848
1.0,0.03727905,19.05659,-0.21922371,0.34692332,0.019247703,0.0030441103,-0.047627464,-2.313897403757736,-4269.140709933023
1.0,0.027707312,19.313179,-0.2967071,0.3122269,0.02218254,-0.0024171972,-0.04741472,-3.492989982211235,-6444.566517179729
1.0,-0.04350736,21.227587,-0.30935827,-0.10234963,0.023270039,-0.018342165,-0.004907173,-0.5436677609349941,-1003.0670189250642
1.0,-0.046378482,21.369614,-0.2734444,-0.13513292,0.021107232,-0.017769793,-0.00014804956,1.701495961194723,3139.2600484042637
1.0,-0.05204859,21.62386,-0.196908,-0.19204953,0.020067902,-0.016135124,0.008616629,3.8138715247861974,7036.592963230534
1.0,-0.053248204,22.478065,0.1527079,-0.33170626,0.020376323,-0.0049896287,0.03613087,17.157948467935064,31656.414923340195
1.0,-0.051007036,22.596956,0.21042903,-0.34015012,0.022059226,-0.0027180256,0.039224308,2.6166434851340648,4827.707230072349
1.0,0.00018957119,23.815258,0.6822179,-0.22550824,0.019066455,0.020979812,0.047349993,24.74444620145696,45653.50324168809
-1.0,0.036327593,26.213993,-0.5185609,0.34990937,0.020128446,-0.009068439,-0.04626854,-59.655812475538355,-110064.97401736827
-1.0,-0.0006174521,25.274551,-0.9003723,0.22159907,0.019956794,-0.028489072,-0.052900124,-19.131900644963316,-35298.35668995732
-1.0,-0.008261606,24.903425,-0.910866,0.17371489,0.022901038,-0.030861732,-0.050282516,-0.4582194047274163,-845.4148017220831
-1.0,-0.012276678,24.683712,-0.90179837,0.14702214,0.022030365,-0.031630415,-0.048213754,0.4115969027294824,759.396285535895
-1.0,-0.018704955,24.266289,-0.8604122,0.09282068,0.020462492,-0.03225288,-0.042904012,2.0225381151034783,3731.5828223659173
-1.0,-0.03296062,22.4909,-0.4854261,-0.08429786,0.022114241,-0.024467995,-0.0140237715,16.95677007408936,31285.240786694867
-0.7004949,-0.033384066,21.120687,-0.15122314,-0.15856658,0.021524996,-0.013103275,0.007818156,15.526272803953136,28645.973323293536
0.7958292,-0.068757534,18.782402,0.15614875,-0.33392495,0.020805607,-0.005877957,0.043610774,14.773512255614555,27257.130111608854
0.5357941,-0.0648832,18.702425,0.23823908,-0.37907153,0.020953514,-0.0034579523,0.052942693,3.917735707719478,7228.222380742437
0.2026302,-0.049427968,18.484589,0.33180222,-0.3433474,0.020959515,0.0030737352,0.054748543,4.463993560919706,8236.068119896858
0.19549659,-0.04738657,18.42474,0.33580825,-0.33397096,0.020552302,0.0037048378,0.054131374,0.1949187979040009,359.62518213288166
0.18163733,-0.045536026,18.359873,0.3384588,-0.3245194,0.020661647,0.004271038,0.05344334,0.12828357778061106,236.6832010052274
0.1616123,-0.05227415,17.668839,0.27338216,-0.2773168,0.01980596,0.0028999397,0.046565633,-3.285709958012639,-6062.134872533319
0.20566,-0.08229689,17.056913,0.16277903,-0.3301234,0.018846802,-0.005905405,0.047933757,-5.868535680483086,-10827.448330491294
0.27143592,-0.10099302,16.765066,0.11042357,-0.38798594,0.019994605,-0.011856213,0.052509762,-2.618479334800562,-4831.094372707037
0.44136268,-0.13343835,16.308683,0.046083644,-0.5111447,0.021199835,-0.0221086,0.065018445,-3.034925790696012,-5599.438083834142
0.5370951,-0.14504336,16.151024,0.029825227,-0.56522536,0.02259355,-0.025983594,0.07127615,-0.7196043561104829,-1327.670037023841
0.77504426,-0.16557673,15.896471,0.02168405,-0.687712,0.020578029,-0.033025626,0.087117456,-0.39562472188177006,-729.9276118718658
1.0,-0.12737073,16.4626,0.3198373,-0.78815955,0.02309492,-0.01875635,0.11398795,12.909906161181764,23818.776867380355
1.0,-0.05888528,17.497704,0.60249746,-0.54183114,0.018449567,0.00960508,0.09552541,15.320693434160273,28266.679386025702
1.0,-0.054121137,17.601479,0.61206096,-0.510942,0.019395452,0.011484827,0.09204474,0.4930795116298371,909.7316989570494
1.0,-0.05029032,17.71186,0.6185748,-0.48274592,0.019550813,0.013045514,0.08869989,0.3331748914993966,614.7076748163868
0.27225834,-0.07229173,19.11924,0.44116086,-0.3463412,0.018995592,0.008537482,0.058926914,-9.33974260975915,-17231.82511500563
0.16809629,-0.078250065,19.200752,0.41949102,-0.36014995,0.018888962,0.0068064197,0.058985714,-1.1472223831039523,-2116.625296826792
0.0513777,-0.08462282,19.261694,0.3993759,-0.37603885,0.020612763,0.005089635,0.05940074,-0.9758575305988813,-1800.4571439549359
-0.5,-0.12319683,19.219074,0.33264947,-0.47626784,0.024361776,-0.0025034698,0.066426285,-2.7389805242442096,-5053.419067230567
0.09773433,-0.16533601,18.611782,0.35139045,-0.65718865,0.021440938,-0.0093179485,0.088788345,0.874074632369163,1612.6676967211058
0.42984426,-0.18742883,17.55583,0.52944225,-0.87746733,0.019750629,-0.009771623,0.1286689,9.01499390221952,16632.663749595013
0.4851049,-0.18447131,17.240799,0.597731,-0.9139852,0.021460375,-0.007695986,0.13898222,3.1820855879731833,5870.947909810523
0.49549043,-0.1792863,17.056952,0.6369516,-0.92418385,0.018912114,-0.0059680915,0.14385721,2.073834791816501,3826.2251909014444
0.41499123,-0.14511833,16.568949,0.72153556,-0.8768286,0.021177534,0.0012041929,0.14741406,3.994041988080388,7369.007468008315
0.39625654,-0.13803811,16.509266,0.7254267,-0.86106324,0.021720381,0.0022021462,0.14630772,0.1791469495861981,330.5261219865355
0.35411906,-0.123370185,16.393047,0.7282771,-0.81687254,0.021762542,0.004533942,0.14224598,0.13097734630449104,241.65320393178595
0.2566276,-0.027554784,14.739687,0.17515111,-0.19420952,0.021464912,0.001333147,0.037958983,-25.76884498757787,-47543.51900208117
0.57796687,-0.032520216,14.2923765,0.04289316,-0.14346442,0.020985054,-0.0049941563,0.022912428,-6.302483186366831,-11628.081478846803
0.7068005,-0.039037243,14.226301,0.006715949,-0.14902273,0.020255566,-0.007852685,0.021269653,-1.786038020364378,-3295.2401475722772
1.0,-0.06853499,14.29969,-0.09712738,-0.22373213,0.021512933,-0.019172583,0.024324674,-4.82701865896203,-8905.849425784945
1.0,-0.17797343,15.798644,-0.13114071,-0.72804934,0.021093355,-0.04485298,0.083145656,-1.6125139884100936,-2975.0883086166227
1.0,-0.19429213,16.40738,0.05687603,-0.8911504,0.019878838,-0.039721586,0.11095782,9.458135329640495,17450.259683186712
1.0,-0.14146405,18.112726,0.9714361,-0.9323474,0.01853069,0.012384012,0.15448174,49.353805497798525,91057.77114343828
1.0,-0.12882257,18.584482,1.1384623,-0.87821263,0.022313165,0.02332487,0.1537132,7.485544968631748,13810.830467125576
1.0,-0.10019134,19.178572,1.2856324,-0.8013626,0.021699645,0.03342064,0.14871603,6.782143210176934,12513.054222776444
1.0,-0.09366227,19.285707,1.3084359,-0.78285944,0.020651106,0.035173696,0.1471893,1.1042265726591205,2037.2980265560773
1.0,-0.051310424,20.050365,1.3876762,-0.5937871,0.020259462,0.04526088,0.12711261,3.9112736557367582,7216.299894834319
1.0,-0.047290497,20.162563,1.3814313,-0.56319594,0.020964954,0.045908332,0.12314013,-0.2978732984579884,-549.5762356549885
1.0,-0.039114997,20.857382,1.2455997,-0.40574807,0.022649294,0.043918133,0.09784273,-5.997167064015326,-11064.773233108275
1.0,-0.040975526,21.130796,1.1593269,-0.3708721,0.019434145,0.040608693,0.08930492,-4.43923825823056,-8190.394586435384
1.0,-0.05179625,21.82945,0.94384843,-0.34086385,0.020765321,0.030595748,0.07399221,-10.376842717721532,-19145.274814196226
-1.0,-0.06215718,22.32164,0.849083,-0.36443013,0.02024237,0.024860984,0.07026007,-4.681538278373527,-8637.438123599157
-1.0,-0.07082565,22.569597,0.8149763,-0.39642206,0.019630423,0.0219571,0.07080552,-1.737440909958998,-3205.5784788743513
-1.0,-0.07683569,22.19913,0.838536,-0.4607034,0.022206604,0.021072738,0.07876102,1.060932144329676,1957.4198062882522
-1.0,0.02628838,19.02517,0.9163918,-0.18264817,0.01967742,0.040253613,0.06691572,3.956606099783408,7299.938254100388
-1.0,0.08567566,17.379486,0.5638639,0.20094737,0.022043118,0.04143183,0.009265975,-15.992651311851617,-29506.441670366232
-1.0,0.08964546,17.160799,0.50526965,0.24554642,0.019851867,0.04063083,0.00082133,-2.9515737738923984,-5445.653612831475
-1.0,0.091018595,15.547816,0.118317835,0.43895167,0.020853186,0.029993856,-0.04850451,-18.5560045836641,-34235.82845686027
-0.9571676,-0.065067306,12.586414,-0.25877765,-0.071432754,0.021969158,-0.024897385,-0.00913646,-17.16476730696734,-31668.995681354747
1.0,-0.14689806,11.540139,-0.38697568,-0.43068126,0.018646287,-0.06276213,0.04073185,-6.875257792610398,-12684.850627366184
1.0,-0.247555,11.941755,-0.5794994,-0.73701036,0.02210811,-0.09678447,0.07414877,-8.70828487826413,-16066.785600397321
1.0,-0.36619666,12.4285755,-0.72176856,-1.0770793,0.020550769,-0.12571907,0.11383555,-6.922814421202438,-12772.592607118499
1.0,-0.67725086,12.847111,-0.48404202,-1.9781756,0.020015465,-0.15828206,0.26202574,11.877142999175886,21913.32883347951
1.0,-0.6653856,12.824697,-0.2630736,-2.0924938,0.021745048,-0.14876615,0.29461288,10.161781201862604,18748.486317436505
1.0,-0.52547777,12.7775345,0.57291013,-2.2599049,0.01977943,-0.095612094,0.37659788,42.2653094654396,77979.49596373606
1.0,-0.45603508,12.795143,0.96766824,-2.254118,0.022325767,-0.06471114,0.40157294,17.681726679311843,32622.78572333035
0.40860838,-0.34191987,12.868666,1.6098025,-2.1353238,0.020477591,-0.00759173,0.425707,31.35790044834864,57855.32632720324
0.68495643,-0.15325694,12.691023,1.9864354,-1.7051966,0.01942665,0.04861127,0.39926162,19.387434271992337,35769.81623182586
1.0,-0.058166586,12.611157,1.9388493,-1.2995971,0.020991083,0.070621125,0.3429084,-2.266967359425903,-4182.554778140791
1.0,0.07573858,13.45766,1.1046839,0.012587987,0.020125542,0.08203866,0.07945584,-41.44809615562155,-76471.73740712176
1.0,0.030715508,14.104649,0.54097915,0.20859212,0.019619903,0.04979129,0.008714878,-28.731270995580353,-53009.19498684575
0.49499857,-0.050092034,14.754649,0.054471985,0.05053377,0.020683588,0.0063884174,-0.0031367557,-23.521410550239153,-43397.00246519124
-1.0,-0.08682038,15.000922,-0.10053417,-0.075663246,0.021599434,-0.010665486,0.0033635118,-7.176398927860795,-13240.456021903166
-1.0,-0.16621768,15.027525,-0.33425152,-0.49203557,0.019861184,-0.04807918,0.042929713,-11.767543667084501,-21711.118065770905
-1.0,-0.16591482,14.931521,-0.33211106,-0.5475279,0.023203604,-0.0511898,0.0507128,0.092246876821377,170.19548773544057
-1.0,-0.13849209,14.521691,-0.25495017,-0.6385367,0.020119378,-0.052325036,0.06979105,3.835152856117124,7075.857019536094
-1.0,0.24585819,11.8084135,0.6150315,0.58255994,0.021646053,0.09053466,-0.046160445,40.19123809777238,74152.83429039003
-0.6545247,0.27319863,11.057002,0.67296964,0.7947752,0.020319164,0.1167729,-0.08196888,2.8514037290116896,5260.839880026568
-0.5,0.2574404,10.601416,0.68082917,0.8595029,0.022605622,0.12718366,-0.09671038,0.34768032483246636,641.4701993159005
-0.5,0.24500602,10.44892,0.67218244,0.86064094,0.02088227,0.12828071,-0.09912494,-0.4140704051810428,-763.9598975590241
-0.5,0.2299909,10.313628,0.6565309,0.8502251,0.019136345,0.12766358,-0.099911705,-0.8178959984260328,-1509.0181170960304
