ss,right,left
0.0,9.134992817364429,9.135008675519208
0.5,9.098513720269976,9.17148656818254
1.0,9.06432041057088,9.205680841045476
1.5,9.032366781477789,9.237637248244848
2.0,9.002602008893087,9.267401731891285
2.5,8.97497541378648,9.295020404606815
3.0,8.949448396198633,9.320537301087112
3.5,8.92599150823815,9.343994939096586
4.0,8.904563126153766,9.365442348351658
4.5,8.885057504394705,9.384961927485271
5.0,8.867364056330576,9.402637808290141
5.5,8.851608167298524,9.418394559962188
6.0,8.837769415141327,9.432224008128543
6.5,8.826233099793956,9.443760277397027
7.0,8.816949585090159,9.453043777511416
7.5,8.809910341439465,9.460083007715005
8.0,8.805013532714602,9.464979760128076
8.5,8.802227384012713,9.467765977904351
9.0,8.801477326467962,9.468516037943381
9.5,8.80274737385554,9.467245982668814
10.0,8.805935792317301,9.464057535269685
10.5,8.811011407245088,9.458981904980341
11.0,8.817927947521513,9.452065404246683
11.5,8.82659603487538,9.443397310042164
12.0,8.837006493841342,9.432986863744352
12.5,8.84906444280737,9.42092882541151
13.0,8.862732838629217,9.407260494954672
13.5,8.877909190547966,9.392092868416722
14.0,8.89395419015967,9.376041628196038
14.5,8.910560170021018,9.359441281719224
15.0,8.927691343864089,9.342305097547156
15.5,8.945266778103862,9.324732683675146
16.0,8.963278112106073,9.306730916622804
16.5,8.981637101843301,9.288370956138937
17.0,9.000309192371805,9.26968121358483
17.5,9.019226897215,9.250767048400826
18.0,9.038347820351209,9.231645120681353
18.5,9.057629991374093,9.212377495634643
19.0,9.076978742334074,9.193018532180767
19.5,9.096364503961404,9.173641117670321
20.0,9.115728461565725,9.154272383542741
20.5,9.135013240912492,9.134981236639543
21.0,9.154160284741092,9.115842560665158
21.5,9.173117057317096,9.09687607854134
22.0,9.191818159131914,9.078186315798076
22.5,9.210210158682079,9.059780038735756
23.0,9.228254183669923,9.041756007749264
23.5,9.245849084943842,9.024152219634413
24.0,9.262960050865486,9.007043242558733
24.5,9.2795374333484,8.990460836497773
25.0,9.295488452404344,8.974502497505291
25.5,9.310811972850708,8.959187369500595
26.0,9.325397962476302,8.944602989707997
26.5,9.33919044120637,8.930808953506665
27.0,9.352128109941251,8.917871313959841
27.5,9.364169225331326,8.905831177908055
28.0,9.375242166486382,8.894759732821493
28.5,9.38528412672124,8.884721229493392
29.0,9.394206379132076,8.87578928356128
29.5,9.401986012630394,8.868007989197151
30.0,9.40854087259651,8.861451384725182
30.5,9.413840861223317,8.856173364931678
31.0,9.417756470686259,8.852239798634074
31.5,9.42025855525031,8.849740861248502
32.0,9.421289440313362,8.848710906582813
32.5,9.420771615314367,8.849223563936379
33.0,9.418644010754662,8.851343288599825
33.5,9.414858370763408,8.8551427354587
34.0,9.409314280476854,8.860686143166385
34.5,9.401963410555647,8.868032903936681
35.0,9.392739034008242,8.87727004717619
35.5,9.381555849487444,8.888446525759502
36.0,9.368370984159329,8.901627972929457
36.5,9.353136017048753,8.916870423536155
37.0,9.335703050116138,8.934286851277504
37.5,9.316091390668344,8.953907349337822
38.0,9.294175492914738,8.975830463387302
38.5,9.269910683880568,9.000087106626477
39.0,9.243218869596227,9.02678225269712
39.5,9.214018705360374,9.055974776420564
40.0,9.182279100544736,9.087715852797514
40.5,9.147879861702192,9.12212344659362
41.0,9.110807401568556,9.159185163064086
41.5,9.071268786384941,9.198724578810863
42.0,9.02964974566585,9.240356049382623
42.5,8.986374088466414,9.283623234930484
43.0,8.941852159816328,9.328140355700576
43.5,8.896515188051314,9.373487449087335
44.0,8.8507309922531,9.419272004118938
44.5,8.805199152632252,9.464796137615721
45.0,8.761057095080767,9.508939641204455
45.5,8.718781984255145,9.551214756056995
46.0,8.678803698968373,9.591193056236449
46.5,8.6415272625242,9.628469491184685
47.0,8.607379929831154,9.662616841233866
47.5,8.576781274887749,9.693215483455932
48.0,8.550149990738456,9.719846779243607
48.5,8.527896059923256,9.74210066560508
49.0,8.510450892380264,9.759545874257066
49.5,8.498224594365835,9.771772176049572
50.0,8.491632633080446,9.778364125116218
50.5,8.491105537213967,9.77889122863654
51.0,8.497050514432964,9.772946242834086
51.5,8.509901258365788,9.760095512551485
52.0,8.530062644431206,9.739934126928413
52.5,8.55796251442267,9.712034363623095
53.0,8.594010176137578,9.675988378356758
53.5,8.638648818791987,9.631386229195904
54.0,8.689527560822317,9.580478210051062
54.5,8.735812461238481,9.53419196636866
55.0,8.776959063954038,9.493033363667948
55.5,8.81368421276813,9.456308843508625
56.0,8.846701350094213,9.423293016832883
56.5,8.876751077267748,9.393248678784952
57.0,8.904521701832726,9.36547130966024
57.5,8.930765497174283,9.339234600116052
58.0,8.956163469014275,9.313844130133216
58.5,8.981380450590352,9.288619527756778
59.0,9.007086745711767,9.262916170976514
59.5,9.0339201351743,9.236070568414828
60.0,9.062490086604882,9.2075110088396
60.5,9.0933565537593,9.176646717278764
61.0,9.127023615588367,9.142975661725782
61.5,9.163924257775674,9.106077819659967
62.0,9.203873566623843,9.066129104613232
62.5,9.246437561331724,9.023567263099585
63.0,9.291122294715443,8.978872896952128
63.5,9.33744650879914,8.932557095265397
64.0,9.384802722309553,8.885189621553103
64.5,9.432694814902142,8.837306110243865
65.0,9.480502934991666,8.789495198770513
65.5,9.527612421609795,8.742398337549508
66.0,9.573390419045124,8.696606083248582
66.5,9.617227302328219,8.652774990131695
67.0,9.65847362497083,8.611520837236847
67.5,9.696459329814335,8.573536420675874
68.0,9.730563207606847,8.539435685851466
68.5,9.760085318357016,8.509903399882658
69.0,9.78447602274852,8.48552372821154
69.5,9.803015489710678,8.466985861042662
70.0,9.815145275535237,8.4548522031171
70.5,9.82029368647274,8.449699260861104
71.0,9.817886403111006,8.452120040645182
71.5,9.807400005360067,8.462597031723103
72.0,9.78835664355087,8.48165307623042
72.5,9.760314674969152,8.509692228069229
73.0,9.722887412599372,8.547115351739357
73.5,9.675746184681993,8.594257261287067
74.0,9.618583515284588,8.651409475206561
74.5,9.551113442737462,8.718720706865675
75.0,9.482522418508756,8.787583899963403
75.5,9.422370256537269,8.847629815292631
76.0,9.370633390394081,8.89936283554057
76.5,9.327196454397725,8.942798156569348
77.0,9.291964726380424,8.97803127027482
77.5,9.264834411058029,9.005160472767779
78.0,9.245616561891044,9.024364455891314
78.5,9.229600117054142,9.040396367463526
79.0,9.213414986777503,9.056581171404137
79.5,9.197044556549413,9.072951349146289
80.0,9.180421957089385,9.089575043632477
80.5,9.16350295310711,9.106499996534641
81.0,9.14626751162036,9.12372966640415
81.5,9.128704400560835,9.141293576893911
82.0,9.110872446930985,9.159130455397266
82.5,9.092821421719902,9.177179494662719
83.0,9.074661648681873,9.195336203347397
83.5,9.056468159096902,9.21352870803664
84.0,9.038324486855837,9.231673082614064
84.5,9.020337308858068,9.249666370554168
85.0,9.0025667421612,9.267428293887788
85.5,8.985127036111434,9.284876843027577
86.0,8.968100898653077,9.301899879574142
86.5,8.951566062778967,9.318438381369786
87.0,8.935627138697875,9.334371107214688
87.5,8.920368010523916,9.349634297810551
88.0,8.905877185818495,9.364123402809655
88.5,8.892256804692357,9.377749190513281
89.0,8.879579088796794,9.390422748873107
89.5,8.867948612207694,9.402051022191518
90.0,8.85745831175589,9.41254300152984
