ss,right,left
0.0,7.1435523809595995,7.626450149332374
0.5,7.1452042431891085,7.624798287095625
1.0,7.146845631789934,7.623156898487258
1.5,7.148473487704958,7.621529043224806
2.0,7.150099310325814,7.619903220762231
2.5,7.15171082757181,7.61829170270182
3.0,7.153315592940644,7.616686937980992
3.5,7.1549204583858925,7.615082059765786
4.0,7.156514088286264,7.613488428177925
4.5,7.158098708803251,7.61190381969689
5.0,7.159686474296476,7.610316052316456
5.5,7.161263546831198,7.608738974240963
6.0,7.162835722819452,7.6071668070385625
6.5,7.164401532219169,7.605600989958153
7.0,7.165968899522787,7.604033625359784
7.5,7.167530635820189,7.602471893536303
8.0,7.1690955405900425,7.600906989521231
8.5,7.170651670891094,7.599350851220041
9.0,7.172209739938037,7.597792790347867
9.5,7.173766976152648,7.5962355515594755
10.0,7.175325340033177,7.594677189919891
10.5,7.176883671962734,7.593118858761942
11.0,7.178436770297729,7.591565759728652
11.5,7.179996573436047,7.590005955339776
12.0,7.181559206721949,7.58844332239929
12.5,7.1831218871548215,7.586880643847378
13.0,7.184689155296598,7.585313372980165
13.5,7.186263790514231,7.583738740100764
14.0,7.1878347401976015,7.582167786508643
14.5,7.189413149641029,7.580589372691604
15.0,7.190997442010027,7.579005084395734
15.5,7.192584502514555,7.57741802759717
16.0,7.194184419516321,7.575818104690875
16.5,7.1957885713761724,7.574213958383878
17.0,7.197399387432844,7.572603142673105
17.5,7.19901080670317,7.5709917222815575
18.0,7.200639681956277,7.569362843971497
18.5,7.202273162829826,7.567729361446942
19.0,7.203917051460113,7.566085476492849
19.5,7.20556720233909,7.564435327654061
20.0,7.207230062278997,7.562772467085904
20.5,7.208892764299764,7.561109766342526
21.0,7.210565720350435,7.559436805389469
21.5,7.212228846156523,7.557773684879837
22.0,7.2138963554847075,7.556106169170139
22.5,7.215559370686339,7.554443159813756
23.0,7.217211862776183,7.5527906681304975
23.5,7.218858068957638,7.551144459598902
24.0,7.220493495190097,7.549509034865192
24.5,7.22211672187965,7.547885802825761
25.0,7.223722293815877,7.5462802367107065
25.5,7.225304353778871,7.544698176101842
26.0,7.226872050082496,7.543130480675077
26.5,7.228408424829719,7.541594105218675
27.0,7.229928305275188,7.540074200886154
27.5,7.231414865861851,7.538587640508683
28.0,7.232875393358016,7.537127113048426
28.5,7.234296990671544,7.535705515827823
29.0,7.235685426192656,7.534317078665832
29.5,7.237041956998027,7.532960547128193
30.0,7.238362762947547,7.5316397439884835
30.5,7.239668593534791,7.530333913240501
31.0,7.240952101308504,7.529050405446667
31.5,7.242230881303715,7.527771625493566
32.0,7.243516846101318,7.5264856605642585
32.5,7.24481172855387,7.5251907782420115
33.0,7.2461211943047195,7.523881311121019
33.5,7.247455213425234,7.5225472932235204
34.0,7.248820196111628,7.5211823048271285
34.5,7.250230151023349,7.5197723465143165
35.0,7.251683917398554,7.518318580682959
35.5,7.25319692834224,7.516805576915467
36.0,7.25477235677731,7.515230148989932
36.5,7.256425284933516,7.513577221047578
37.0,7.258151261352184,7.511851244068602
37.5,7.259963627731033,7.510038877326988
38.0,7.261876250544442,7.508126255888386
38.5,7.263892459975667,7.506110046773862
39.0,7.266020401296565,7.503982105218024
39.5,7.268262379171551,7.501740122061386
40.0,7.270635375015679,7.499367131505334
40.5,7.273127697360382,7.49687480927523
41.0,7.275730168560231,7.49427233840502
41.5,7.278396111317728,7.491606395394775
42.0,7.28110161795352,7.4889008822913885
42.5,7.283807083749756,7.486195421304996
43.0,7.286484328727334,7.483518177023821
43.5,7.289100582699964,7.480901923293963
44.0,7.291620247581228,7.478382258760697
44.5,7.294010190111911,7.4759923106334325
45.0,7.2962426096081865,7.473759897071376
45.5,7.298271749611187,7.4717307520574066
46.0,7.300078740542988,7.469923763250762
46.5,7.301621698063114,7.4683808078885265
47.0,7.302879408082725,7.467123095868861
47.5,7.303806268117486,7.466196236816603
48.0,7.304376976863684,7.4656255296840675
48.5,7.304549361414168,7.465453142316843
49.0,7.304307031742237,7.465695474058297
49.5,7.30360037463347,7.4664021322021
50.0,7.302403130580587,7.467599375302199
50.5,7.300703669491848,7.469298837207713
51.0,7.298599654012951,7.471402852609538
51.5,7.296181619782794,7.473820886851643
52.0,7.293573081803309,7.476429413258753
52.5,7.290874571488136,7.4791279281543375
53.0,7.288199234158855,7.481803268806131
53.5,7.28565454344236,7.484347957890079
54.0,7.28335096200825,7.486651542988415
54.5,7.281395098622697,7.488607403467986
55.0,7.279895121223418,7.490107385351154
55.5,7.278971487428766,7.491031018143825
56.0,7.278716309563156,7.491286194375693
56.5,7.279247256279133,7.490755250276609
57.0,7.280667600387713,7.48933490591189
57.5,7.283099405931031,7.486903097478173
58.0,7.286636630721521,7.4833658732861545
58.5,7.291401412025418,7.4786010947169705
59.0,7.29749521148722,7.47250729442242
59.5,7.305025595403555,7.464976904544772
60.0,7.3141079138433085,7.4558945921494635
60.5,7.324846133786074,7.445156368466998
61.0,7.337347397858882,7.432655106388361
61.5,7.351637304742991,7.418365201780773
62.0,7.367337465114876,7.402665041649538
62.5,7.383995916739984,7.38600658801851
63.0,7.40115076169271,7.368851743784467
63.5,7.4183503793583885,7.3516521258080445
64.0,7.4351338472983315,7.334868657343594
64.5,7.451036348562776,7.318966158206208
65.0,7.46560240472805,7.304400098457378
65.5,7.478366874873635,7.291635631516979
66.0,7.488883789312402,7.281118713943618
66.5,7.4966891063963645,7.2733134004275595
67.0,7.501321916652039,7.268680589374694
67.5,7.5023220956409205,7.267680408090176
68.0,7.499228840346363,7.270773666243682
68.5,7.491592777854278,7.278409728667041
69.0,7.478947715265487,7.291054790752929
69.5,7.460839073258287,7.3091634317754455
70.0,7.436800744853028,7.333201760799372
70.5,7.406381475324006,7.363621033388652
71.0,7.3691158539067745,7.400886656754815
71.5,7.324632756788037,7.445369376576384
72.0,7.272848560609968,7.497145896469696
72.5,7.2156436662141,7.554357337082994
73.0,7.159793570854256,7.610209541062525
73.5,7.1060181011205525,7.663976158136049
74.0,7.054364050337844,7.7156331731175225
74.5,7.004859446455895,7.765141207463479
75.0,6.9575481115843205,7.812459683342838
75.5,6.91244458911507,7.857558385833206
76.0,6.869587993337681,7.900410568918482
76.5,6.8290004698385705,7.9410031888718935
77.0,6.7906750935385585,7.979325805603566
77.5,6.754648390934747,8.015350886082548
78.0,6.720911309761032,8.049090938120926
78.5,6.689480878027363,8.080517689184797
79.0,6.660350344553179,8.109653675330742
79.5,6.633513028023865,8.136489494401081
80.0,6.6089518270142475,8.161051785869468
80.5,6.586654875312576,8.183344951994485
81.0,6.566629067232459,8.203368356203484
81.5,6.548829658366018,8.221170044694892
82.0,6.533271631143673,8.236726495446998
82.5,6.519939155398912,8.25006318066132
83.0,6.508785653689372,8.261209693500069
83.5,6.499848557852255,8.270148473869947
84.0,6.493064285972748,8.276930660852399
84.5,6.488447566629113,8.281559498867624
85.0,6.4859529720997875,8.284048793616568
85.5,6.4855690969118225,8.284431108746123
86.0,6.487290371764565,8.28271280711004
86.5,6.491075145314069,8.278924960774194
87.0,6.49691138700307,8.273092721045119
87.5,6.5047808886438645,8.265220367787768
88.0,6.514643782362003,8.25535030420849
88.5,6.526504649486573,8.243495106799
89.0,6.540325410459771,8.229677588264495
89.5,6.556075110373418,8.213929250042867
90.0,6.573741490060699,8.196261915040623
90.5,6.593294596441006,8.176702137251395
91.0,6.6147094543685325,8.155291132820954
91.5,6.637881776850804,8.132115115117585
92.0,6.662686737377563,8.107308176659162
92.5,6.688994122032323,8.081004803763529
93.0,6.716635790894309,8.053360619350089
93.5,6.745487245461522,8.024520791460752
94.0,6.7753677754755195,7.9946399489971185
94.5,6.8060932238875385,7.963903713722483
95.0,6.837484031798498,7.932509913055589
95.5,6.869399171354197,7.900601841325071
96.0,6.901592078028035,7.868406187574814
96.5,6.933910853070603,7.836089102623797
97.0,6.966110985916581,7.803884108781127
97.5,6.99801809856694,7.771984053223047
98.0,7.029391136514633,7.740618662084397
98.5,7.060025168827896,7.709969868021994
99.0,7.089747335255623,7.680256704942344
99.5,7.118282371596476,7.651706001196102
100.0,7.145446204861067,7.624555697510122
100.5,7.171002514427551,7.598998700614737
101.0,7.194741969211393,7.5752498039044305
101.5,7.2164989466607325,7.5535078120515
102.0,7.236337818913648,7.5336674990349906
102.5,7.254598958650974,7.515394277447473
103.0,7.2715682707451625,7.498435394958352
103.5,7.287508187839584,7.482489398531023
104.0,7.302752570021652,7.467237033066592
104.5,7.31758277304371,7.45241815753144
105.0,7.332326307559974,7.437678190317063
105.5,7.347207023261455,7.422788501864082
106.0,7.3625889227239725,7.407417721531682
106.5,7.378730269703405,7.391271827473875
107.0,7.395889745192072,7.374106701209881
107.5,7.414343742413201,7.355659948724339
108.0,7.434396069846723,7.335607614000101
108.5,7.456275398380877,7.31371955555961
109.0,7.480246209691928,7.289755812775888
109.5,7.506517636673454,7.263480699493358
110.0,7.535352219212599,7.23464664088832
110.5,7.566951755573298,7.2030575740793
111.0,7.601505659675433,7.168498763020295
111.5,7.637181174549994,7.1328362841347515
112.0,7.66692409177677,7.10308119109106
112.5,7.690066775491985,7.079937888116262
113.0,7.7064812811052565,7.063523352800306
113.5,7.716064405264801,7.053940219078598
114.0,7.718687358881168,7.051317269975827
114.5,7.714236870880244,7.055767752666
115.0,7.702597595390419,7.067407119525783
115.5,7.68365479877274,7.086350150163231
116.0,7.6572974138060275,7.112707567922663
116.5,7.623417946133883,7.146586649932338
117.0,7.581888328296122,7.188116301922959
117.5,7.53260939386546,7.23739522672118
118.0,7.4754581750036575,7.294546431328925
118.5,7.410328518361479,7.359675720225018
119.0,7.337083242493516,7.432916358493496
119.5,7.255567726357216,7.514383271935273
120.0,7.171774135328252,7.598222712585536
120.5,7.09134579065945,7.678645310431718
121.0,7.014327259731267,7.755667421427528
