ss,right,left
0.0,9.134995869968721,9.135000875111425
0.5,9.142116721248778,9.12788649943964
1.0,9.148954956778713,9.121049671788597
1.5,9.155497197314434,9.11450186018965
2.0,9.161745756534405,9.108248387205014
2.5,9.167701256620125,9.102294204157793
3.0,9.173354691666086,9.096644323024629
3.5,9.178694889259875,9.091303878471651
4.0,9.18371055223308,9.08628452656804
4.5,9.188390208776218,9.081608613214597
5.0,9.192748770756564,9.077245879622383
5.5,9.196775589133914,9.07322307550086
6.0,9.20045272985559,9.069551286207425
6.5,9.2037669007588,9.066232672458376
7.0,9.206722601523852,9.063278844911906
7.5,9.209311571511343,9.060691352069478
8.0,9.211530004347056,9.058471990419099
8.5,9.213376952229817,9.056626242568212
9.0,9.21482139309099,9.055179416361785
9.5,9.215890309092636,9.054115260546471
10.0,9.216545436937936,9.053451340353398
10.5,9.216804002582839,9.053194413564446
11.0,9.216628209345336,9.053366753718928
11.5,9.216053515229724,9.05395297482744
12.0,9.21503193110444,9.054970858171812
12.5,9.213589053342556,9.056412431849036
13.0,9.2117019664598,9.058297535062774
13.5,9.209360113752995,9.060635887309655
14.0,9.206578424491557,9.063422108933583
14.5,9.20332382693894,9.066674416219005
15.0,9.199595245833672,9.070398425178894
15.5,9.195396127951001,9.074608751732397
16.0,9.190716477139594,9.079280150991682
16.5,9.185526394065889,9.084474328714428
17.0,9.179866335064286,9.090139636152719
17.5,9.173684368593504,9.096317664304783
18.0,9.166999209159314,9.102999351855605
18.5,9.159793408366601,9.110207307648334
19.0,9.152057726896569,9.11794642238703
19.5,9.143784985950045,9.126214220812981
20.0,9.13519003236897,9.134807179783607
20.5,9.127025506085316,9.14297898093925
21.0,9.119367193040057,9.150629868610652
21.5,9.112194416580166,9.157810164668735
22.0,9.105515094113171,9.164480156385608
22.5,9.099318133460995,9.170683388861823
23.0,9.093590702275867,9.176405353523643
23.5,9.088327413099332,9.181677644853576
24.0,9.083525793480602,9.18647057390038
24.5,9.079185085117613,9.190818948436139
25.0,9.075279982016674,9.194723949984578
25.5,9.07181299740904,9.198183032385039
26.0,9.068780628994238,9.201224336343614
26.5,9.066168610464535,9.203829620050517
27.0,9.063980936404464,9.206021437298954
27.5,9.062191443306649,9.2078096582468
28.0,9.06081024331796,9.209185530495407
28.5,9.059823996277068,9.210172007199278
29.0,9.059229484459719,9.210774584070396
29.5,9.059013896225117,9.210989220209006
30.0,9.059168571763987,9.210834715085587
30.5,9.05968967857228,9.21031352457766
31.0,9.060575680353349,9.209428403126951
31.5,9.061815642749252,9.208181034267916
32.0,9.06339974792795,9.206603719715725
32.5,9.065325527826102,9.204677502452032
33.0,9.067572843488351,9.202430551196414
33.5,9.070151061746534,9.199852061980483
34.0,9.073045803559706,9.19695715113914
34.5,9.076247268511292,9.193748147479573
35.0,9.079755913863089,9.190239624388195
35.5,9.08355586771588,9.186445504832117
36.0,9.087644658787653,9.18235871360934
36.5,9.09201770381414,9.177986022686865
37.0,9.096663666092924,9.173336576831767
37.5,9.101579614357524,9.168420627190612
38.0,9.106756605018754,9.16324170798605
38.5,9.112181361612675,9.157814075474729
39.0,9.117854884719739,9.152148062800874
39.5,9.123768998365293,9.146227779488791
40.0,9.129914359131227,9.140089672370728
40.5,9.136284870347025,9.133718985290201
