ss,right,left
35.5,9.372521858033538,8.897476110678618
36.0,9.372086537857077,8.89791143055501
36.5,9.371586379193731,8.898411589709823
37.0,9.371007845536731,8.8989901222737
37.5,9.370363880380715,8.899634085502473
38.0,9.369642295205404,8.900355672952527
38.5,9.368840218021145,8.901157750813764
39.0,9.36795647394117,8.902041494825575
39.5,9.366997400106394,8.903000567717116
40.0,9.365950242396488,8.904047731456119
40.5,9.364822884237606,8.90517507936118
41.0,9.363604675205453,8.906393150176424
41.5,9.362305625232262,8.907693617064787
42.0,9.360943919606065,8.909056816086975
42.5,9.359525358269941,8.910475287527975
43.0,9.358070782249973,8.911929774508643
43.5,9.356597146756437,8.913403801878403
44.0,9.355107688349738,8.914890317598076
44.5,9.353620868985276,8.916379980066052
45.0,9.352145622550102,8.917854892516125
45.5,9.350704327963397,8.919296402039908
46.0,9.34930636788418,8.920694221095847
46.5,9.347961571526788,8.922041478660766
47.0,9.34668913083196,8.923310893876176
47.5,9.345500467081562,8.924502364454474
48.0,9.344412544109389,8.925588463677967
48.5,9.343428006242338,8.926569990840667
49.0,9.342575172716728,8.927426624127941
49.5,9.34185620010058,8.92814577346836
50.0,9.341294091416055,8.928706469178444
50.5,9.340892906370682,8.929107736482358
51.0,9.34067323760122,8.929329857823461
51.5,9.34064414226035,8.929356148324409
52.0,9.340820472444763,8.929180116691942
52.5,9.341218918635654,8.9287821846503
53.0,9.34185106149383,8.928146814734971
53.5,9.342727010685406,8.92727631505558
54.0,9.343867379337725,8.926133346072463
54.5,9.345278814649669,8.924724790948964
55.0,9.346978745276799,8.923024960004529
55.5,9.348970466621079,8.92103020599416
56.0,9.351064614809466,8.91893855413972
56.5,9.35294971998521,8.917048787908563
57.0,9.354710534398535,8.915291942604576
57.5,9.356285142946208,8.913714485107409
58.0,9.357732282764163,8.912268022401957
58.5,9.359057148327794,8.910941793202845
59.0,9.360273893418427,8.90972454029154
59.5,9.361382008353198,8.908619973465681
60.0,9.362425874709547,8.907575439812296
60.5,9.363363655786555,8.90664119912908
61.0,9.364281236714055,8.905714572461344
61.5,9.365138582272081,8.904862091276609
62.0,9.365940001616309,8.90406089795116
62.5,9.366686444318193,8.903312089116445
63.0,9.367375785416167,8.902622229034622
63.5,9.367945615138437,8.90205443622306
64.0,9.36842207491015,8.90157829660538
64.5,9.368776583638928,8.901224562739504
65.0,9.369036412681183,8.900965902295749
65.5,9.36914960693092,8.90084957520135
66.0,9.36908627553405,8.90091372829329
66.5,9.368859547573173,8.90114039761866
67.0,9.36846713182556,8.901533735966334
67.5,9.367896051966405,8.902104388545172
68.0,9.367100733976098,8.902899706161161
68.5,9.366093451006464,8.903904967655876
69.0,9.3648873677305,8.905114825435192
69.5,9.3633925287974,8.906605333570887
70.0,9.361781438641113,8.90821938749545
70.5,9.360349879649826,8.909650621089348
71.0,9.359155764417421,8.910844856572151
71.5,9.358172046032827,8.911828536583773
72.0,9.35738803680704,8.91261255494839
72.5,9.356802525366614,8.91319806403038
73.0,9.356388680548582,8.913611909846544
73.5,9.356146263857218,8.913854326521596
74.0,9.356051523647388,8.913949065777608
74.5,9.356095518571353,8.913905071561647
75.0,9.35627149800088,8.913729092196068
75.5,9.356555574740565,8.913445015496729
76.0,9.356949279273154,8.913051310611198
76.5,9.35742875237022,8.912571837849558
77.0,9.357984267502106,8.912016322540193
77.5,9.358605192095764,8.911395398136035
78.0,9.359268841781452,8.91073174718756
78.5,9.359975511741721,8.910025077866704
79.0,9.360715771875734,8.90928481661181
79.5,9.361463776945858,8.908536813108006
80.0,9.362204876759336,8.907795712781855
80.5,9.362936675049689,8.907063915466601
81.0,9.36364537020438,8.906355220005272
81.5,9.364315125127707,8.905685465104497
82.0,9.364933340384605,8.905067249914868
82.5,9.365500368629867,8.9045002209755
83.0,9.366019600116013,8.90398099005692
83.5,9.36648446612772,8.903516124109274
84.0,9.366901781868288,8.90309880809713
84.5,9.367267155190934,8.902733434389344
85.0,9.367592418610476,8.902408171623417
85.5,9.367875006945292,8.902125583210061
86.0,9.368122992530433,8.901877596566855
86.5,9.368325505275434,8.901675084449355
87.0,9.3684884687282,8.901512121319612
87.5,9.36861768183405,8.901382909152701
88.0,9.368713288736407,8.901287298479772
88.5,9.368777111098995,8.901223488390654
89.0,9.368805404826533,8.901195152513441
89.5,9.368806777625599,8.901193929484277
90.0,9.368782311496004,8.90121777206162
90.5,9.368728463073854,8.90127064319399
91.0,9.368657413878678,8.901341884129026
91.5,9.368561816785142,8.90143743715943
92.0,9.368442577790136,8.901556685394818
92.5,9.368304308945161,8.901694953130907
93.0,9.368153042485309,8.901846219210976
93.5,9.36798393075544,8.902015331365995
94.0,9.367800296241338,8.902198965776602
94.5,9.367604034151261,8.902395227914788
95.0,9.367402807958955,8.902596452243053
95.5,9.367190667199033,8.90280859350846
96.0,9.366965913132013,8.90303334886397
96.5,9.366743241148852,8.903256020915512
97.0,9.366511216379418,8.903488045384279
97.5,9.366281103750294,8.903718157648871
98.0,9.366056799356604,8.903942461999318
98.5,9.365825926222714,8.904173334392285
99.0,9.365595881525744,8.904403380319788
99.5,9.36537462081084,8.904624641264753
100.0,9.365164218159292,8.904835042920675
100.5,9.364963572069687,8.905035689971818
101.0,9.364768943900856,8.905230318180443
101.5,9.364587020033229,8.905412242271824
102.0,9.364417842192836,8.905581419876384
102.5,9.364263876902163,8.905735385170379
103.0,9.364119824040586,8.905879437107334
103.5,9.363992624088494,8.906006637462426
104.0,9.363883176513193,8.906116085398466
104.5,9.363783949846278,8.906215312110268
105.0,9.363696909947619,8.90630235207607
105.5,9.36361601936953,8.906383241784354
106.0,9.363550431357062,8.906448833234926
106.5,9.36349531715548,8.906503936222533
107.0,9.3634500788798,8.90654920782785
107.5,9.36341585922879,8.906583338882871
108.0,9.363389052521256,8.906610278865038
108.5,9.363373258250233,8.906627244771158
109.0,9.363362988260238,8.906637812143243
109.5,9.363361761771083,8.906638484128091
110.0,9.36336844145457,8.906631439853138
110.5,9.36338110882171,8.906618846105165
111.0,9.363401948336689,8.906597998142782
111.5,9.363426079134245,8.90657388443807
112.0,9.36345453737456,8.90654533278955
112.5,9.363492054640142,8.906508209310234
113.0,9.36353562956983,8.906465054688866
113.5,9.363580269016557,8.906420322619903
114.0,9.363628147494742,8.90637246377593
114.5,9.363680230334035,8.906320381389367
115.0,9.363733968499497,8.906266641092232
115.5,9.3637900651988,8.906210545769401
116.0,9.363845549183058,8.906155060843599
116.5,9.363901004673425,8.906099606004808
117.0,9.363960794736483,8.906039815859781
117.5,9.364020163341822,8.90598044730718
118.0,9.364080208676588,8.905920401758305
118.5,9.364137918908945,8.905862692373208
119.0,9.364194710189569,8.905805898577299
119.5,9.364251593208168,8.9057490173345
120.0,9.364303176300156,8.905697444044659
120.5,9.36435246836962,8.905648104144694
121.0,9.36439944944097,8.905601290242402
121.5,9.364442933299836,8.905558052730854
122.0,9.364482596650978,8.90551835062127
122.5,9.364516935338303,8.905484013008822
123.0,9.364547373513558,8.905453627058584
123.5,9.364572171589794,8.90542863199631
124.0,9.364593672769907,8.905406910463846
124.5,9.364613796607989,8.905386826137045
125.0,9.36181038249003,8.9053726595485
125.5,8.862415884488174,8.905364585417768
126.0,8.363021324641087,8.905357486937122
126.5,7.863626707816202,8.905351624805768
127.0,7.364232038391183,8.905351553985069
127.5,6.864837322259578,8.90535398764406
128.0,6.365442564045476,8.905356058108284
128.5,5.866047768665676,8.905362796778427
129.0,5.366652941193216,8.905371966888314
129.5,4.867258086553138,8.905380084673205
130.0,4.367863209743038,8.905391343427327
130.5,3.868468315723553,8.90540388186783
131.0,3.369073409480176,8.905418204600773
131.5,2.8696784960252986,8.90543143530469
132.0,2.370283580212581,8.90544394077368
132.5,1.8708886671379092,8.905458469316944
133.0,1.3714937617357699,8.905474047624086
133.5,0.8720988689802557,8.905489827907935
134.0,0.3727039938462959,8.905505094366656
134.5,0.1266908586916945,8.905519646141046
135.0,0.6260856836586987,8.905533827435907
135.5,1.1254804760797983,8.905547696536942
136.0,1.6248752309796093,8.90555890654803
136.5,2.1242699433825702,8.905567250950728
137.0,2.6236646083116937,8.905575168785843
137.5,3.123059220790823,8.905583461928295
138.0,3.6224537758424176,8.905588809711098
138.5,4.121848268487837,8.905590574207478
139.0,4.621242693753974,8.905590296908821
