x,y
72.28075408935547,-124.7672119140625
72.28076171875,-124.7672119140625
72.28077697753906,-124.7672119140625
72.28079223632812,-124.7672119140625
72.28292083740234,-124.76676177978516
72.29194641113281,-124.76492309570312
72.30591583251953,-124.76206970214844
72.32593536376953,-124.75798034667967
72.3495864868164,-124.75313568115234
72.37800598144531,-124.747314453125
72.40814971923828,-124.74114227294922
72.44483947753906,-124.7336196899414
72.48493194580078,-124.72539520263672
72.52825927734375,-124.7165069580078
72.57416534423828,-124.70706939697266
72.62222290039062,-124.69717407226562
72.67659759521484,-124.68598175048828
72.72828674316406,-124.67532348632812
72.78108215332031,-124.6644287109375
72.84972381591797,-124.6502456665039
72.91107177734375,-124.6375503540039
72.97545623779297,-124.62421417236328
73.04179382324219,-124.61043548583984
73.10816955566406,-124.5966567993164
73.17334747314453,-124.58309173583984
73.2444076538086,-124.56828308105467
73.31306457519531,-124.553955078125
73.3843765258789,-124.53905487060548
73.46154022216797,-124.5229034423828
73.53656768798828,-124.5071792602539
73.61693572998047,-124.49029541015624
73.97504425048828,-124.41476440429688
74.06723022460938,-124.39522552490234
74.16556549072266,-124.37435150146484
74.25416564941406,-124.35550689697266
74.35111999511719,-124.33484649658205
74.44043731689453,-124.31576538085938
74.53498077392578,-124.2955322265625
74.62874603271484,-124.2754364013672
74.7248764038086,-124.25479125976562
74.83051300048828,-124.23206329345705
74.93013000488281,-124.21058654785156
75.03211212158203,-124.18854522705078
75.1301040649414,-124.16732788085938
75.23384857177734,-124.1448211669922
75.34223937988281,-124.12126159667967
75.4441146850586,-124.09906768798828
75.56078338623047,-124.07357788085938
75.68528747558594,-124.04633331298828
75.81070709228516,-124.018798828125
75.93628692626953,-123.99118041992188
76.0516357421875,-123.96574401855467
76.17076110839844,-123.93941497802734
76.29434967041016,-123.91204071044922
76.4500503540039,-123.87744903564452
76.58158111572266,-123.84814453125
76.70807647705078,-123.81989288330078
76.84798431396484,-123.7885513305664
76.9964370727539,-123.75521850585938
77.13573455810547,-123.72383880615234
77.95582580566406,-123.53742980957033
79.02346801757812,-123.29029846191406
79.95367431640625,-123.0708999633789
81.15033721923828,-122.78299713134766
82.52777862548828,-122.4437484741211
83.65827941894531,-122.1589813232422
83.86161041259766,-122.1071548461914
84.07572174072266,-122.0523910522461
84.30037689208984,-121.99469757080078
84.5123291015625,-121.94007110595705
84.7354965209961,-121.88233184814452
84.95146179199219,-121.82623291015624
85.17709350585938,-121.76741790771484
85.40714263916016,-121.70720672607422
85.63726806640625,-121.646728515625
85.86151123046875,-121.58757019042967
86.11454010009766,-121.52054595947266
86.38407897949219,-121.4488296508789
86.61506652832031,-121.3871078491211
86.8702392578125,-121.31865692138672
87.1273422241211,-121.24937438964844
87.37967681884766,-121.18109893798828
87.63556671142578,-121.11156463623048
87.89144134521484,-121.0417251586914
88.14286804199219,-120.97281646728516
88.38363647460938,-120.90656280517578
88.66378784179688,-120.8291473388672
88.94357299804688,-120.75146484375
89.18635559082031,-120.68376922607422
89.71859741210938,-120.53443145751952
89.99589538574219,-120.4561004638672
90.2765121459961,-120.37648010253906
90.5394287109375,-120.30156707763672
90.79638671875,-120.22803497314452
91.07718658447266,-120.14733123779295
91.3614501953125,-120.06526184082033
91.654296875,-119.98033905029295
91.9398422241211,-119.89714050292967
92.21351623535156,-119.81706237792967
92.50701904296876,-119.73079681396484
92.77436065673828,-119.65185546875
93.0599136352539,-119.56719970703124
93.33282470703124,-119.48592376708984
93.62909698486328,-119.39730834960938
93.90480041503906,-119.31446075439452
94.18861389160156,-119.22882843017578
94.4734344482422,-119.14250946044922
94.75275421142578,-119.0574951171875
95.05925750732422,-118.96379089355467
95.524658203125,-118.82064819335938
