ss,right,left
0.0,9.134999252388932,9.135002968912854
0.5,9.138624011335384,9.131377367061763
1.0,9.143888596195897,9.126111788511572
1.5,9.15065289068661,9.119347196170846
2.0,9.15877134697649,9.111229250492514
2.5,9.16809321221869,9.101908099775104
3.0,9.17847260070753,9.091528948553792
3.5,9.189766828193266,9.08023396714474
4.0,9.201835563345997,9.068164195592512
4.5,9.214534363700972,9.055465216361934
5.0,9.22771258271731,9.04228795895523
5.5,9.24123483503505,9.028766697455078
6.0,9.254956793259717,9.015043494206374
6.5,9.268732375402864,9.001267605960964
7.0,9.282439869088918,8.98755928090176
7.5,9.29591951994128,8.974082044486101
8.0,9.309032699092732,8.960969198809721
8.5,9.321648527481212,8.948350388482423
9.0,9.333610916052306,8.936390271633178
9.5,9.344818951663092,8.92518329503423
10.0,9.35510189938352,8.914898142217941
10.5,9.36434183868945,8.905659730380272
11.0,9.372400617639554,8.897600958069566
11.5,9.379130244718056,8.890872177772502
12.0,9.384415425824784,8.885584826920631
12.5,9.388105992432216,8.881895586962848
13.0,9.39009203524166,8.879909039048037
13.5,9.390207652211465,8.87979133039799
14.0,9.388360842474322,8.881640279405808
14.5,9.384397024386981,8.885605268394484
15.0,9.378195032782562,8.891805769960015
15.5,9.369632840869468,8.900366475682373
16.0,9.358575202400681,8.91142354716687
16.5,9.344892439035293,8.925109859764774
17.0,9.328477175032738,8.941522643784374
17.5,9.30917283905233,8.960830550740484
18.0,9.286887576886873,8.983112509964743
18.5,9.261487865096028,9.008512370495524
19.0,9.232863000490422,9.037138145298199
19.5,9.200857743868662,9.069144276435896
20.0,9.165395877103734,9.104604335605933
20.5,9.126325666315307,9.14367461526628
21.0,9.083530064272162,9.18646528526542
21.5,9.037835052224775,9.232092453036508
22.0,8.994108485780913,9.275897768222665
22.5,8.954965385936621,9.315031661461978
23.0,8.919879350387053,9.350122509018542
23.5,8.888766409180954,9.381232078826244
24.0,8.861488685670034,9.408511725351723
24.5,8.83790736771248,9.432090159111972
25.0,8.817890017297948,9.452110348142748
25.5,8.801291173048421,9.46870970809445
26.0,8.787968644314567,9.4820308231735
26.5,8.777775377577623,9.492224885877894
27.0,8.770559916230459,9.499441911331859
27.5,8.76617037351335,9.503829325398302
28.0,8.76445584656278,9.50554449314754
28.5,8.765255390431314,9.504743782727683
29.0,8.768414761362237,9.5015873465303
29.5,8.773772837306486,9.496227191980822
30.0,8.78116954865325,9.488831039109975
30.5,8.790446635306207,9.479553689050409
31.0,8.801439983443041,9.468559052245059
31.5,8.813988136674919,9.456011151712348
32.0,8.827927921434727,9.442071997984664
32.5,8.843100124156917,9.42690057446848
33.0,8.859339988981024,9.41066003102065
33.5,8.876485376752543,9.393517036856252
34.0,8.894381155915198,9.375618695205734
34.5,8.912862854585455,9.35713796945113
35.0,8.931774964072062,9.338227507805597
35.5,8.950957882983118,9.319040709303046
36.0,8.970261198785158,9.299740467745044
36.5,8.989530560222313,9.280468699457526
37.0,9.008611202562147,9.261389606836449
37.5,9.027363892718698,9.242636396019147
38.0,9.045628164597039,9.224371423065254
38.5,9.063278796637414,9.206723395482705
39.0,9.08015988693748,9.189839609095468
39.5,9.09614301478514,9.17385648508062
40.0,9.111092174075717,9.158907180765976
40.5,9.124884218692545,9.14511491972785
41.0,9.137383226534231,9.132618119040568
41.5,9.148531037942448,9.121470071700104
42.0,9.158371760207277,9.111629468373161
42.5,9.166981655530858,9.10301979223887
43.0,9.174425573749538,9.095573242701484
43.5,9.180773429195114,9.089225901624962
44.0,9.186093060625218,9.08390778374264
44.5,9.190443219261676,9.079557684266556
45.0,9.193902418338464,9.0760989084064
45.5,9.196522480072685,9.073478304328837
46.0,9.198367458178533,9.071635624643239
46.5,9.199501702372984,9.070502146003856
47.0,9.199988550873568,9.070010542086996
47.5,9.19987376403815,9.070125238631068
