steps,X,Y,yaw,vx,vy,yawdot,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,last_ts,mpc_time
11,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.9227574600961,-1.8293635821620757,1.0,0.06115882098674774,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.017651360481977463,-1
12,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.9227574591589,-1.8293635821620666,1.0,0.06613245606422424,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.018845319747924805,-1
13,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.9227574575128,-1.8293635821620993,1.0,0.0702156275510788,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.019941765815019608,-1
14,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.9227574619529,-1.8293635821620682,1.0,0.07336754351854324,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.01553078182041645,-1
15,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.9227574600839,-1.8293635821620695,1.0,0.0755566954612732,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.018510792404413223,-1
16,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.9227574661652,-1.8293635821620526,1.0,0.07676122337579727,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.020334012806415558,-1
17,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.9227574645189,-1.8293635821620784,1.0,0.07696907967329025,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.015678267925977707,-1
18,155.0,-96.0,0.8726650920503556,-2.6236274889278394e-07,-1.1863340598913908e-05,0.0,915.9227574584502,-1.8293635821620584,1.0,0.07617820054292679,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.016260571777820587,-1
19,155.0,-96.0,0.8726650920503556,-2.9283768547343105e-07,-5.913920671838205e-06,0.0,915.9227574610334,-1.8293635821620473,1.0,0.07439648360013962,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.016865264624357224,-1
20,155.0,-96.0,0.8726650920503556,-1.0960421733190809e-07,-3.279972896863488e-06,0.0,915.9227574610023,-1.8293635821620433,1.0,0.07164172828197479,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.017401862889528275,-1
