X_0,Y_0,yaw_0,vx_0,vy_0,yawdot_0,throttle_0,steer_0,last_ts,X_1,Y_1,yaw_1,vx_1,vy_1,yawdot_1
90.60851287841795,93.0393524169922,0.0242275857877508,3.518674027588303,0.1664078088927939,0.1019953164009135,1.0,0.066235139966011,0.0234374422580003,90.69363403320312,93.04450988769533,0.0265219385981515,3.696673328806885,0.1586996362888043,0.0978926277511156
91.1109848022461,93.06800842285156,0.0346465876966838,4.434701654803622,0.1036423813312464,0.0654121053437141,1.0,0.0266283825039863,0.0207291636615991,91.20478057861328,93.07286834716795,0.035831376050795,4.579972120567313,0.0901337645661059,0.0571556273785437
91.20478057861328,93.07286834716795,0.035831376050795,4.579972120567313,0.0901337645661059,0.0571556273785437,1.0,0.0204505771398544,0.019759003072977,91.29717254638672,93.07747650146484,0.0367784419075084,4.717394152141131,0.0764255240630895,0.0479308522406499
94.33922576904295,93.12071990966795,-0.0014242586810115,7.909108961398071,-0.2600881204281725,-0.2049859282111165,1.0,-0.0831870287656784,0.0206902492791414,94.50482177734376,93.11591339111328,-0.0059218039596028,8.052470121815597,-0.2721445667708311,-0.2173751131710863
95.358642578125,93.07701873779295,-0.031708130651296,8.739842183187847,-0.3284673639562199,-0.2788101982813199,1.0,-0.1016230434179306,0.0224944446235895,95.55713653564452,93.06446075439452,-0.0382882711532584,8.889347531370147,-0.3398730010307844,-0.2925229145271679
95.73475646972656,93.05196380615234,-0.0443655964384408,9.020288057830456,-0.3499273887920512,-0.3068463397374211,1.0,-0.1080655604600906,0.0199249740689992,95.91595458984376,93.03802490234376,-0.0507417408814977,9.15142286724369,-0.359819659937431,-0.3200076658055672
96.48023986816406,92.98678588867188,-0.0716774078099638,9.545740720758465,-0.3882440850263924,-0.3608886209751006,1.0,-0.1203995570540428,0.1181496530771255,97.46355438232422,92.86766052246094,-0.111158288272441,10.194457497781125,-0.4030829718598714,-0.3341599355920652
97.46355438232422,92.86766052246094,-0.111158288272441,10.194457497781125,-0.4030829718598714,-0.3341599355920652,1.0,-0.1185715198516845,0.0212328378111124,97.67980194091795,92.8366470336914,-0.1200010899678321,10.33219345137415,-0.3989037306809619,-0.4164681977066288
101.5977020263672,92.3258056640625,-0.0899248716117256,12.46220061019125,0.4985582803431464,0.5086261910816675,1.0,0.2391166090965271,0.0962791871279478,102.8205337524414,92.2994384765625,-0.0095623451697412,12.921475062881424,0.6361834740508439,0.8346822282077292
105.6100082397461,92.54753875732422,0.161503342987193,14.219177840850303,-0.1768120178686847,0.6893024968210033,1.0,-0.235630601644516,0.0193632803857326,105.88453674316406,92.5857925415039,0.1689873416377769,14.33966209995952,-0.3072384453380548,0.3865046883325748
106.44944763183594,92.66380310058594,0.1747020692181666,14.562057005478051,-0.5548073726671325,0.0609236662840491,1.0,-0.2836119532585144,0.0198448039591312,106.73766326904295,92.70191192626952,0.1724225364831133,14.661440642018691,-0.6598482528322456,-0.1148679896131922
115.5142059326172,93.01559448242188,-0.0062110232539854,17.97495511909325,0.1500163645374286,0.1337049603380538,1.0,0.0103407511487603,0.0192984901368618,115.86284637451172,93.01548767089844,-0.0038535940973446,18.096832433080824,0.1026367988544164,0.1221561448549773
116.59024047851562,93.01525115966795,0.000139639610582,18.347344613110653,0.0207445122599199,0.0928453844564279,1.0,-0.0017213623505085,0.021374924108386,116.98432159423828,93.01516723632812,0.0017399042576151,18.481127820758907,-0.0132900872176943,0.0748664481295317
117.79351043701172,93.01510620117188,0.0037927647932742,18.75198743299976,-0.0607120101477851,0.0381139756282186,1.0,-0.0086074639111757,0.0201199892908334,118.1724853515625,93.01512145996094,0.0042433526642899,18.87722578983943,-0.0733341242157435,0.022395035330409
121.0632553100586,93.01553344726562,0.0015538482556993,19.802344139293,-0.0418938965351888,-0.032567460786521,1.0,-0.0042277644388377,0.0226633306592702,121.51416778564452,93.01551818847656,0.0008261820099874,19.94213485188695,-0.0290219938936755,-0.0321076481057445
121.51416778564452,93.01551818847656,0.0008261820099874,19.94213485188695,-0.0290219938936755,-0.0321076481057445,1.0,-0.0028428833466023,0.0201603565365076,121.9178695678711,93.01546478271484,0.0002147653466006,20.066338047068257,-0.0177675297726315,-0.0303276711540085
122.28963470458984,93.01538848876952,-0.0002918824879819,20.17987572585569,-0.0080629098674402,-0.0274628560914733,1.0,-0.0007208414026536,0.0207302346825599,122.70972442626952,93.01527404785156,-0.0007952199014976,20.307313324878347,0.0016260388279396,-0.0242803528866528
124.42808532714844,93.01441192626952,-0.0019409116724125,20.819023209309933,0.0250778252150495,-0.0072249394101259,1.0,0.0023296559229493,0.0201369412243366,124.84896087646484,93.01412963867188,-0.0020192082183494,20.94217470738017,0.0269120188245026,-0.0038882045224533
132.12159729003906,93.00779724121094,-0.0006908239217479,22.950416887472,-0.0063444131090363,-0.0010786000721461,1.0,-0.0006354848155751,0.0225262138992548,132.640625,93.00730895996094,-0.0007275756098096,23.086027909697123,-0.0057596391537133,-0.0016315075505382
136.45980834960938,93.00393676757812,-0.0008159924929816,24.05648070512497,0.0024381013507608,0.0023783463157235,1.0,0.0015410488704219,0.0221335981041193,136.9942169189453,93.00357055664062,-0.0007360977903164,24.18865467716406,0.0027268811829512,0.0036096572409682
137.50843811035156,93.00325012207033,-0.0006290386494767,24.315045656027294,0.0026235364234845,0.0050535214343922,1.0,0.0020099084358662,0.0222115740180015,138.05047607421875,93.0029754638672,-0.0004836299889398,24.447435323198764,0.0020833770252428,0.0065465266180172
