steps,X,Y,yaw,vx,vy,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,delta,alpha,kappa,lookahead,target_vel
3920,-154.7915802001953,89.60704803466797,0.6312849592771707,20.344634410244616,0.9331393882612318,1644.694703410354,-2.4855481154400088,1.0,-0.07401467859745026,0.0,-148.378662109375,82.31604766845703,-157.4950714111328,93.93689727783203,0.05801074560234818,0.0303579241768502,0.010713637008296037,None,40.82742868626089
3921,-154.5138397216797,89.83051300048828,0.6235227768059712,20.43457369843639,0.908363903673278,1645.0222567479018,-2.477752933828384,1.0,-0.07732011377811432,0.0,-148.19532775878906,82.45817565917969,-157.17723083496094,94.18328857421875,0.05436271520249681,0.028444426821319157,0.009671521135215806,None,42.97076646343068
3922,-154.22421264648438,90.05912780761719,0.6154348231544278,20.527604721510947,0.8855127896770476,1645.3608802453587,-2.4695101498673258,1.0,-0.08150886744260788,0.0,-147.9928741455078,82.61125183105469,-156.82626342773438,94.44865417480469,0.050209426073813616,0.026266954757975525,0.008627462487927973,None,45.496601080041714
3923,-153.94281005859375,90.27716827392578,0.6075110533840878,20.61668365435513,0.8649323710174333,1645.6872172667424,-2.461581415696354,1.0,-0.08504790812730789,0.0,-147.79571533203125,82.75650787353516,-156.4844970703125,94.7004623413086,0.04595989360466102,0.02404009329322284,0.007826400066676084,None,47.768265354446235
3924,-153.6559295654297,90.49532318115234,0.5993326854135362,20.706463222012722,0.8479964176826815,1646.0172739458803,-2.4536018375193365,1.0,-0.08918667584657669,0.0,-147.6052703857422,82.89336395263672,-156.15435791015625,94.93770599365234,0.04147299746668678,0.02168991936155393,0.0069583516629937,None,50.66024736979071
3925,-153.37448120117188,90.70545959472656,0.5912116419854486,20.793364214524626,0.8342685069883302,1646.3386550026219,-2.4460175090488114,1.0,-0.09297492355108261,0.0,-147.4074249267578,83.03201293945312,-155.81138610839844,95.17806243896484,0.03691028253180629,0.019301052084393432,0.0061140457256393076,None,54.045078453247115
3926,-153.0857696533203,90.91700744628906,0.5827420573496969,20.881196646821177,0.8247162683304801,1646.6658869461164,-2.4384958871118214,1.0,-0.09730939567089081,0.0,-147.2041015625,83.17086029052734,-155.45892333984375,95.41876220703125,0.032137021041244385,0.016802927882220722,0.00548422979737701,None,57.06406040963693
3927,-152.77377319335938,91.14112854003906,0.5733916987624286,20.974511037623643,0.8194600663972942,1647.0168389201046,-2.4307429206818782,1.0,-0.10234572738409042,0.0,-146.99549865722656,83.30958557128906,-155.0972900390625,95.65924835205078,0.026944382591276815,0.014086304701415432,0.0047498360398312055,None,61.317040269867384
3928,-152.47178649902344,91.35382843017578,0.564134750550395,21.063072656180964,0.816767611764611,1647.354063293531,-2.423798633346969,1.0,-0.10623767971992493,0.0,-146.7822265625,83.44759368896484,-154.72756958007812,95.89847564697266,0.021896538649111116,0.011446263257951641,0.004045189413094035,None,66.4432797551224
3929,-152.15859985351562,91.56996154785156,0.5543024929638769,21.153244788633735,0.8187563535873075,1647.7012541121644,-2.4171543942738385,1.0,-0.11082865297794342,0.0,-146.58108520507812,83.57427978515625,-154.3788604736328,96.11811065673828,0.016673305727490303,0.008715189221799698,0.0035107572011825773,None,71.32143869005984
3930,-151.87266540527344,91.7635269165039,0.5451013712661941,21.23386728892552,0.8275088667640293,1648.0161268455793,-2.4117686075618407,1.0,-0.11403229087591171,0.0,-146.37034606933594,83.7034912109375,-154.0135498046875,96.34209442138672,0.011941925609159952,0.0062417617763231075,0.0030176429496097962,None,76.92837640716398
3931,-151.54298400878906,91.98204803466797,0.5342190625513713,21.32513959280345,0.8399690129427615,1648.3766179915071,-2.4062239928284224,1.0,-0.1193026527762413,0.0,-146.1366729736328,83.8426513671875,-153.6084747314453,96.58334350585938,0.00655316202771365,0.0034250533004643925,0.00246059102141443,None,85.19238473438706
3932,-151.193359375,92.20844268798828,0.5223405651412909,21.419245675533507,0.8576224405467006,1648.7560386934638,-2.4012403116084315,1.0,-0.12409844249486923,0.0,-145.90158081054688,83.97840118408203,-153.200927734375,96.81867218017578,0.0009472522202077956,0.0004950797259003897,0.001989086733314423,None,94.75314470681415
3933,-150.84344482421875,92.4296875,0.5101060030934669,21.510979950386407,0.8833570301791092,1649.132946776858,-2.397354281206493,1.0,-0.12831330299377441,0.0,-145.6532440185547,84.11727142333984,-152.77040100097656,97.05940246582031,-0.004559563090602424,-0.002383065681383581,0.001616688868861199,None,100.0
3934,-150.50379943847656,92.63933563232422,0.49790429779559175,21.59759875715596,0.9126681249462969,1649.496132278844,-2.394674299675588,1.0,-0.1322261095046997,0.0,-145.411865234375,84.24787139892578,-152.3519744873047,97.28581237792969,-0.009812419568130027,-0.0051286293671473126,0.0012469757411688394,None,100.0
3935,-150.18605041503906,92.83102416992188,0.4862114560030035,21.676551419175663,0.9453832664124828,1649.8336129161391,-2.393263253959785,1.0,-0.13574425876140594,0.0,-145.2000732421875,84.35900115966797,-151.9848175048828,97.47844696044922,-0.0146700517582316,-0.007667899652192468,0.0009008020452886313,None,100.0
3936,-149.855712890625,93.025634765625,0.47377619147752836,21.756402491233903,0.9830821868088577,1650.1820855120536,-2.3928493432130717,1.0,-0.13971976935863495,0.0,-144.9652557373047,84.47850799560547,-151.5777587890625,97.68561553955078,-0.019663393379371244,-0.0102785405916367,0.0007653274936468861,None,100.0
3937,-149.52886962890625,93.2135238647461,0.4611811372866485,21.832862070106792,1.0224855901930745,1650.5245215219256,-2.393545613742856,1.0,-0.14350169897079468,0.0,-144.74790954589844,84.58567810058594,-151.20098876953125,97.87141418457031,-0.024520683607478402,-0.012818608500577894,0.0005861209856719299,None,100.0
3938,-149.197998046875,93.39907836914062,0.4481459291466058,21.90799729805114,1.0694289499885379,1650.8688479138093,-2.3954637884610808,1.0,-0.1472236067056656,0.0,-144.51284790039062,84.69799041748047,-150.79348754882812,98.06610870361328,-0.029368587608480635,-0.015354453908190078,0.0004035533243172441,None,100.0
3939,-148.87074279785156,93.57795715332031,0.43500099876965176,21.97996524599312,1.1166931507323792,1651.2070990170805,-2.3985498791092916,1.0,-0.150983065366745,0.0,-144.2801971435547,84.80548858642578,-150.39016723632812,98.2524642944336,-0.03414165477478038,-0.017851955201374982,0.0002391717146410879,None,100.0
