steps,X,Y,yaw,vx,vy,progress,error,cmd_throttle,cmd_steer,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y
1,90.0,93.0,0.0,0.0,0.0,1889.296347001378,1.1345533227280022,0.5,5.899677276611328,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
2,90.0,93.0,0.0,0.0,0.0,1889.2963322104472,1.1345533228085922,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
3,90.0,93.0,0.0,0.0,0.0,1889.296332180689,1.1345533228089497,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
4,90.0,93.0,0.0,0.0,0.0,1889.2963321806656,1.134553322808955,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
5,90.0,93.0,0.0,0.0,0.0,1889.2963321814711,1.134553322808951,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
6,90.0,93.0,0.0,0.0,0.0,1889.2963321810078,1.1345533228089417,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
7,90.0,93.0,0.0,0.0,0.0,1889.2963321806408,1.1345533228089442,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
8,90.0,93.0,0.0,0.0,0.0,1889.2963321803632,1.1345533228089517,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
9,90.0,93.0,0.0,0.0,0.0,1889.296332181002,1.1345533228089664,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
10,90.0,93.0,0.0,0.0,0.0,1889.296332180133,1.1345533228089713,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
11,90.0,93.0,0.0,0.0,0.0,1889.2963321810691,1.1345533228089584,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
12,90.0,93.0,0.0,0.0,0.0,1889.2963321807633,1.1345533228089553,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
13,90.0,93.0,0.0,0.0,0.0,1889.2963321804516,1.134553322808956,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
14,90.0,93.0,0.0,0.0,0.0,1889.29633218056,1.134553322808969,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
15,90.0,93.0,0.0,0.0,0.0,1889.2963321804018,1.1345533228089537,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
16,90.0,93.0,0.0,0.0,0.0,1889.2963321808047,1.1345533228089484,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
17,90.0,93.0,0.0,0.0,0.0,1889.2963321808825,1.1345533228089535,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
18,90.0,93.0,0.0,0.0,0.0,1889.2963321811335,1.1345533228089733,0.5,0.22691066563129425,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789
19,90.000732421875,93.00005340576172,6.397378349502604e-06,0.007316052954099404,0.0021171893413252695,1889.2970687069758,1.1345213602587498,0.5,0.22674445807933807,90.4781494140625,85.88983917236328,90.52507781982422,100.6597671508789
20,90.00115966796875,93.00008392333984,7.833221777192327e-06,0.00524300059299156,0.0012507379538459382,1889.2974997713065,1.1345033489095786,0.5,0.22681061923503876,90.47857666015625,85.88983917236328,90.52550506591797,100.6597671508789
21,90.00393676757812,93.00005340576172,6.536057903840466e-06,-0.027072351288602435,-0.0036836462144502285,1889.3003179619748,1.1346150229720164,0.5,0.22748138010501862,90.48135375976562,85.88982391357422,90.52828216552734,100.65975189208984
