steps,X,Y,yaw,vx,vy,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,delta,alpha,kappa,lookahead,target_vel,front_left_delta,front_right_delta
24,93.30943298339844,93.06521606445312,0.00378258756478042,6.8221181814683645,-0.18613767441527423,1892.6618065397643,1.0937691407468573,1.0,-0.07274290174245834,0.0,93.78660583496094,85.87932586669922,93.83353424072266,100.64925384521484,-0.12984438346982138,-0.06829997711602226,5.685136459090999e-06,None,100.0,-4.05007266998291,-3.8918769359588623
25,93.67928314208984,93.05683135986328,-0.004454402719117884,7.250226575447533,-0.2209829500559712,1893.0426089564523,1.0919405363504011,1.0,-0.07993179559707642,0.0,94.1564712524414,85.8781509399414,94.20339965820312,100.64807891845703,-0.13635742835843015,-0.07177356269418093,3.7701223919970206e-06,None,100.0,-4.508767604827881,-4.312651634216309
26,94.11021423339844,93.04216766357422,-0.015193864570525469,7.677650475384966,-0.25131570398475633,1893.4876667829167,1.0902657543605623,1.0,-0.08723223954439163,0.0,94.58744812011719,85.87678527832031,94.6343765258789,100.64671325683594,-0.1434203092719036,-0.07554840869611437,2.0713841001431165e-06,None,100.0,-4.9316864013671875,-4.70160436630249
27,94.52005004882812,93.02313232421875,-0.026366894769033106,8.04748298480103,-0.27895055696017756,1893.9123645292339,1.08897581006218,1.0,-0.09422443062067032,0.0,94.99734497070312,85.87548065185547,95.04427337646484,100.6454086303711,-0.14996316668715617,-0.07905315503399482,1.918513844668244e-06,None,100.0,-5.361873626708984,-5.091681003570557
28,94.9691390991211,92.99628448486328,-0.03955913162544422,8.404685834326393,-0.30315812950187204,1894.3793726313527,1.0877629306170569,1.0,-0.10157530009746552,0.0,95.4465103149414,85.87405395507812,95.49343872070312,100.64398193359375,-0.15717632648455115,-0.08292614056183455,2.993726056576558e-06,None,100.0,-5.770508289337158,-5.459679126739502
29,95.43392181396484,92.96158599853516,-0.054115441672788527,8.759478532202658,-0.3289031840384809,1894.8645571135933,1.0865505042257892,1.0,-0.1094139963388443,0.0,95.9113998413086,85.87257385253906,95.95832824707031,100.64250183105469,-0.1649539447370219,-0.08711355254202341,5.147259600558598e-06,None,100.0,-6.197972774505615,-5.839542865753174
30,95.93234252929688,92.91616821289062,-0.0709125396225147,9.147680032195815,-0.35762405540075226,1895.3869974753795,1.0850851487974509,1.0,-0.11760793626308441,0.0,96.40995788574219,85.8709945678711,96.4568862915039,100.64092254638672,-0.1733275515374979,-0.09163571495121865,7.705650200449786e-06,None,100.0,-6.649691581726074,-6.241833686828613
31,96.39080047607422,92.8663558959961,-0.08760684787654223,9.481583941204319,-0.3812188445898672,1895.8695347345172,1.0835500863944576,1.0,-0.12503547966480255,0.0,96.86856842041016,85.86953735351562,96.91549682617188,100.63946533203125,-0.18074804391518245,-0.0956557992383202,1.0058088839696742e-05,None,100.0,-7.122476577758789,-6.640754222869873
32,97.28545379638672,92.74565887451172,-0.12281498597560986,10.09033783623816,-0.40362693936245164,1896.8166810766934,1.0792517693548682,1.0,-0.13754740357398987,0.0,97.76359558105469,85.86669158935547,97.8105239868164,100.6366195678711,-0.19580830767817545,-0.10385371922664519,1.4659205831103738e-05,None,100.0,-7.524128437042236,-7.007827281951904
33,97.90769958496094,92.64276885986328,-0.14893799968722435,10.485176244554784,-0.4230406996803371,1897.47949907296,1.0740948810734854,1.0,-0.03885689750313759,0.0,98.38616943359375,85.86471557617188,98.43309783935547,100.6346435546875,-0.09771853132603382,-0.05125803122911551,1.7868070827974808e-05,None,100.0,-8.243583679199219,-7.6290059089660645
