steps,X,Y,yaw,vx,vy,yawdot,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,last_ts,mpc_time
14,153.0,-12.0,-3.1415921209575752,-0.0,0.0,0.0,774.4553663876875,-0.7464395597669922,1.0,0.0882071703672409,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.016596941277384758,-1
15,153.0,-12.0,-3.1415921209575752,-0.0,0.0,0.0,774.4553663876916,-0.746439559766992,1.0,0.09039632230997086,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.016757041215896606,-1
16,153.0,-12.0,-3.1415921209575752,-3.157516279628776e-07,-1.017943106042938e-05,0.0,774.4553663876933,-0.7464395597669927,1.0,0.09160085022449493,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.015931444242596626,-1
17,153.0,-12.0,-3.1415921209575752,-2.2900682437192333e-07,-8.261304961603677e-06,0.0,774.4553663876887,-0.7464395597669911,1.0,0.09180871397256851,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.017191385850310326,-1
18,153.0,-12.0,-3.1415921209575752,-3.8919323555632143e-07,-2.060490280268839e-06,0.0,774.4553663876972,-0.7464395597669897,1.0,0.09101783484220505,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.016603844240307808,-1
19,153.0,-12.0,-3.1415921209575752,-2.3119402777022386e-07,-2.0649466610893197e-06,0.0,774.4553663876931,-0.7464395597669944,1.0,0.08923611044883728,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.015549997799098492,-1
20,152.99996948242188,-12.000004768371582,-3.141591854641466,-0.00012229200406381276,-0.0014120871388265373,1.4775819214551588e-05,774.4554024064872,-0.7464394203284174,1.0,0.08647917211055756,0.0,152.79144287109375,-2.308419704437256,152.4966278076172,-20.57604217529297,0.01802377961575985,-1
21,152.9999542236328,-12.000004768371582,-3.141591854641466,-7.646705892178485e-05,-0.0008793029672484346,0.0,774.4554199744343,-0.7464369966727475,1.0,0.08277809619903564,0.0,152.7914276123047,-2.308419704437256,152.49661254882812,-20.57604217529297,0.015899252146482468,-1
22,152.9999542236328,-12.000004768371582,-3.141591854641466,-4.855930829903576e-05,-0.0004600263685852883,0.0,774.455419974514,-0.7464369966727513,1.0,0.07816953212022781,0.0,152.7914276123047,-2.308419704437256,152.49661254882812,-20.57604217529297,0.015940841287374496,-1
23,152.99993896484375,-12.000004768371582,-3.141591854641466,-2.7205728143946117e-05,-0.00019629550670389656,0.0,774.455437542319,-0.7464345730054784,1.0,0.07269741594791412,0.0,152.79141235351562,-2.308419704437256,152.49661254882812,-20.57604217529297,0.016491474583745003,-1
