steps,X,Y,yaw,vx,vy,dt,progress,error,cmd_throttle,cmd_steer
1486,198.23318481445312,50.11491012573242,-1.9707537208865773,5.224096313234337,-0.28018788627438074,0.017896687611937523,129.51204641964182,-0.5088554617378466,-0.49474355578422546,-0.11032669246196747
1487,198.19407653808594,50.0325927734375,-1.9743556462609093,5.252577951742285,-0.2831315133973995,0.01735735684633255,129.59956505160275,-0.510488650480533,-0.49609071016311646,-0.11026367545127869
1488,198.15272521972656,49.94630432128906,-1.9781609039844692,5.274857318590834,-0.2839268116175784,0.018134113401174545,129.69146743991837,-0.5122550610814647,-0.49723944067955017,-0.1112830638885498
1489,198.11351013183594,49.86534118652344,-1.9817174224622154,5.31284530969395,-0.28820300472306704,0.016956143081188202,129.77788611965929,-0.5138912758174808,-0.4981893002986908,-0.11095932871103287
1490,198.0712890625,49.77897262573242,-1.9855547712769106,5.3329300439720955,-0.28835937972771086,0.018011873587965965,129.87025300832195,-0.5156676942656812,-0.4989399015903473,-0.11201563477516174
1491,198.0299530029297,49.69524002075195,-1.9892724110006066,5.367138212130988,-0.2921038069471895,0.017417479306459427,129.95998745899263,-0.5174049593745443,-0.4994909167289734,-0.11216731369495392
1492,197.98558044433594,49.60619354248047,-1.9932691500065431,5.385717497798415,-0.29204764429967733,0.018456758931279182,130.05561012800698,-0.5192929613140389,-0.4998421370983124,-0.11329860240221024
1493,197.9407958984375,49.51726531982422,-1.9972772074471123,5.412600080127756,-0.29497669512149205,0.018404029309749603,130.1513268651549,-0.5211837834629691,-0.4999934136867523,-0.11369086802005768
1494,197.8936309814453,49.42448806762695,-2.001498051458779,5.429628718798737,-0.2951171759437048,0.019158584997057915,130.25139720069683,-0.5232196258401707,-0.4999447166919708,-0.11482314020395279
1495,197.84754943847656,49.33481216430664,-2.005595591111975,5.459183360507087,-0.2988421534385912,0.01848428137600422,130.34835775150037,-0.5251967648528868,-0.4996960461139679,-0.11492504924535751
1496,197.80276489257812,49.24857711791992,-2.009557575865686,5.488968279936529,-0.3009340560755702,0.01771325245499611,130.4418245753994,-0.5270991868157409,-0.4992475211620331,-0.11493194848299026
1497,197.75823974609375,49.16366958618164,-2.0134736210905926,5.522452785909503,-0.3041989788161663,0.017371533438563347,130.5340617293957,-0.5289964965403638,-0.4985992908477783,-0.11528585106134415
1498,197.71005249023438,49.07272720336914,-2.0177105772268544,5.54473985187784,-0.30457895341195007,0.018549973145127296,130.6330981646539,-0.5310389598779579,-0.4977516233921051,-0.11642010509967804
1499,197.66331481933594,48.98540115356445,-2.021779221582223,5.579531864632568,-0.3084332993770711,0.01777089200913906,130.72842686525246,-0.5330305565622602,-0.4967048466205597,-0.11656409502029419
1500,197.6156005859375,48.89717102050781,-2.0259269618219666,5.605688479486159,-0.3096660640399498,0.017888862639665604,130.82498731277408,-0.5350531999923338,-0.4954594373703003,-0.11712385714054108
1501,197.56874084472656,48.81134033203125,-2.029970971937252,5.641315052377147,-0.31337168327922704,0.017349401488900185,130.91914431242114,-0.5370636319065311,-0.49401581287384033,-0.11746488511562347
1502,197.51939392089844,48.721858978271484,-2.034232029681379,5.66643934761704,-0.3142819657031932,0.018026381731033325,131.01755548136927,-0.5391846778681664,-0.49237459897994995,-0.11844216287136078
1503,197.47267150878906,48.63798904418945,-2.0382217113104266,5.706565628521362,-0.31893183613591347,0.016848521307110786,131.11003379975176,-0.5411903710834877,-0.4905364513397217,-0.11826653778553009
1504,197.41751098632812,48.54001998901367,-2.0429705270082015,5.721616564138207,-0.3174925847618191,0.019616805016994476,131.21835717351485,-0.5435546146531796,-0.4885020852088928,-0.12053214013576508
1505,197.36441040039062,48.44669723510742,-2.0474981671774453,5.750893492486019,-0.32143684182943666,0.01868884451687336,131.3218302376551,-0.5458595792043965,-0.48627233505249023,-0.12069673836231232
1506,197.309814453125,48.35175704956055,-2.052158432768975,5.768578842483067,-0.3219912739076838,0.018975140526890755,131.42739541854965,-0.5482486752526351,-0.48384806513786316,-0.12159521877765656
1507,197.25804138183594,48.26266860961914,-2.0565485206679157,5.804293715889834,-0.32704039438106136,0.017774127423763275,131.52673724416337,-0.5505248012748599,-0.4812302589416504,-0.12148559093475342
1508,197.2020721435547,48.16740798950195,-2.061306391113397,5.822184228603232,-0.32707731575812504,0.018960073590278625,131.63328187805905,-0.5529782072808472,-0.4784199893474579,-0.12286267429590225
1509,197.1357421875,48.056175231933594,-2.066608079053472,5.916513991815286,-0.341684274429058,0.022000137716531754,131.75820500450533,-0.5557268117498373,-0.475418359041214,-0.12488838285207748
1510,197.0748748779297,47.955501556396484,-2.0715688823740175,5.930054551472776,-0.34456426220419045,0.019805269315838814,131.87171472463496,-0.5581797289340614,-0.4722265601158142,-0.12390053272247314
1511,197.01502990722656,47.85735321044922,-2.076583215232473,5.945954905906459,-0.3437919958073463,0.019350755959749222,131.98265325480213,-0.5607666454444467,-0.4688458740711212,-0.1250879168510437
1512,196.9538116455078,47.758079528808594,-2.081704474008695,5.9584185936523015,-0.3439150581252681,0.019570888951420784,132.09523648048378,-0.5634362242593512,-0.46527764201164246,-0.12603513896465302
1513,196.89585876464844,47.6651611328125,-2.0865587508856374,5.986123727325699,-0.34667719096499106,0.018313340842723846,132.20096876546387,-0.5659686031876532,-0.4615233242511749,-0.12585560977458954
1514,196.83482360839844,47.56840133666992,-2.091637798558582,6.001594915776735,-0.3472011655769074,0.019053688272833824,132.31144888690986,-0.5686371691970077,-0.457584410905838,-0.12707026302814484
1515,196.77499389648438,47.474578857421875,-2.0966108524201412,6.026659251387933,-0.349693486411069,0.018475763499736786,132.41893294291756,-0.5712819837450593,-0.4534624516963959,-0.12748046219348907
1516,196.71778869628906,47.38582229614258,-2.1013620649628972,6.054676730619569,-0.3527723268230636,0.01745329611003399,132.5209499657515,-0.5738278567445729,-0.4491591155529022,-0.1274949312210083
1517,196.65798950195312,47.29402160644531,-2.1062835866573635,6.077351907417604,-0.3547220440013765,0.018030479550361633,132.62681885992043,-0.5765041074341778,-0.44467613101005554,-0.12868207693099976
1518,196.5951690673828,47.19874572753906,-2.1114309444122688,6.095328906495431,-0.356437497743626,0.018719492480158806,132.7371202258872,-0.5792732707302448,-0.4400152862071991,-0.1297004669904709
