steps,X,Y,yaw,vx,vy,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,delta,alpha,kappa,lookahead,target_vel
121,112.72846221923828,92.82129669189453,-0.010699515995502347,16.88628715207609,0.4389032316403889,11.728475992717168,0.17860019519221584,1.0,0.03443846106529236,0.0,113.20621490478516,85.817626953125,113.25314331054688,100.58755493164062,0.020401572541805673,0.01066452456444763,9.661246547537292e-05,None,100.0
122,113.08058166503906,92.82620239257812,-0.0099282645438154,17.01916158672146,0.41066278921023447,12.08059579857087,0.17367595306547992,1.0,0.03254516422748566,0.0,113.55831146240234,85.81651306152344,113.60523986816406,100.58644104003906,0.018937125065327284,0.009898797075200666,0.00010228457554951321,None,100.0
123,113.39261627197266,92.83006286621094,-0.008715461503541966,17.13606585959642,0.37806620907638155,12.392630663803367,0.1698000927039252,1.0,0.028993522748351097,0.0,113.87033081054688,85.81552124023438,113.9172592163086,100.58544921875,0.01662765807059046,0.00869132404206026,0.00010800516856820458,None,100.0
124,113.73213958740234,92.8338394165039,-0.007031276869729904,17.26229137739263,0.3365082180372364,12.732154948638566,0.16600806990877615,1.0,0.02551048994064331,0.0,114.2098388671875,85.81444549560547,114.25676727294922,100.5843734741211,0.01341806277148462,0.007013403198603502,0.00011550510009369485,None,100.0
125,114.20928192138672,92.83859252929688,-0.004302602536983367,17.437737528258364,0.2757742610341151,13.209295268342503,0.16123575730808318,1.0,0.021050412207841873,0.0,114.68695831298828,85.81292724609375,114.73388671875,100.58285522460938,0.008216311308896123,0.004294349193150934,0.0001279438692557698,None,100.0
126,114.57382202148438,92.8419418334961,-0.00209271172450994,17.570245326242652,0.22912298815483556,13.573834821019325,0.15787404115721387,1.0,0.015258952975273132,0.0,115.05148315429688,85.811767578125,115.0984115600586,100.58169555664062,0.00400353434721541,0.0020924522606895124,0.00013811527594871878,None,100.0
127,114.9076156616211,92.84480285644531,-0.00011025486912928046,17.690321686468057,0.18475844209050638,13.907627881974328,0.15500355931664803,1.0,0.010846058838069439,0.0,115.38526916503906,85.81070709228516,115.43219757080078,100.58063507080078,0.0002253987027788881,0.00011780420232612758,0.00014885516383603367,None,100.0
128,115.24378967285156,92.84752655029297,0.0017556659320569572,17.810066894518034,0.14227565259653807,14.243801069793323,0.15227234391204617,1.0,0.007016068324446678,0.0,115.72142791748047,85.80963897705078,115.76835632324219,100.5795669555664,-0.003328764130158563,-0.0017397794971088087,0.0001608831769716762,None,100.0
129,115.63221740722656,92.85052490234375,0.0036991250324849073,17.947044241906433,0.09825426056419304,14.632227986898686,0.14926801485186725,1.0,0.003440159372985363,0.0,116.10984802246094,85.80840301513672,116.15677642822266,100.57833099365234,-0.007027570510610745,-0.003673014984844361,0.000174161675320441,None,100.0
130,115.97901153564453,92.85311126708984,0.005184607160206684,18.06806358011264,0.06349846900990325,14.97902244636565,0.14667896314601025,1.0,7.192586781457067e-05,0.0,116.45661926269531,85.80730438232422,116.50354766845703,100.57723236083984,-0.009851073991965316,-0.0051488342474419885,0.00019041964829096564,None,100.0
