steps,X,Y,yaw,vx,vy,yawdot,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,last_ts,mpc_time
1,70.0,-115.0,0.2923430491832137,0.0,0.0,None,1272.6795474938256,-0.8919987329866171,1.0,-0.16073410212993622,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,1.6428521119523793,-1
2,70.0,-115.0,0.2923430491832137,0.0,0.0,0.0,1272.679550554668,-0.8919987329956397,1.0,-0.23995061218738556,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.11552727967500687,-1
3,70.0,-115.0,0.2923430491832137,0.0,0.0,0.0,1272.67954999055,-0.8919987329932038,1.0,-0.23006702959537506,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.019576480612158775,-1
4,70.0,-115.0,0.2923430491832137,0.0,0.0,0.0,1272.6795500944909,-0.8919987329936139,1.0,-0.2203819453716278,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.017643194645643234,-1
5,70.0,-115.0,0.2923430491832137,0.0,0.0,0.0,1272.6795500753342,-0.8919987329935393,1.0,-0.21099212765693665,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.018524538725614548,-1
6,70.0,-115.0,0.2923430491832137,0.0,0.0,0.0,1272.679550078864,-0.8919987329935539,1.0,-0.20199140906333923,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.01759493350982666,-1
7,70.0,-115.0,0.2923430491832137,0.0,0.0,0.0,1272.6795500782134,-0.8919987329935855,1.0,-0.19346971809864044,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.017760243266820908,-1
8,70.0,-115.0,0.2923430491832137,0.0,0.0,0.0,1272.6795500783332,-0.8919987329935475,1.0,-0.18551218509674072,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.01715380698442459,-1
9,70.0,-115.0,0.2923430491832137,0.0,0.0,0.0,1272.6795500783112,-0.8919987329935525,1.0,-0.17819835245609283,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.01763910800218582,-1
10,70.0,-115.0,0.2923430491832137,0.0,0.0,0.0,1272.6795500783153,-0.8919987329935727,1.0,-0.17160126566886902,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.01950286328792572,-1
11,70.0,-115.0,0.2923430491832137,0.0,0.0,0.0,1272.6795500783144,-0.891998732993561,1.0,-0.16578686237335205,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.017451314255595207,-1
12,70.0,-115.0,0.2923430491832137,0.0,0.0,0.0,1272.6795500783146,-0.8919987329935675,1.0,-0.16081322729587555,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.017706673592329025,-1
13,70.0,-115.0,0.2923430491832137,0.0,0.0,0.0,1272.6795500783146,-0.8919987329935675,1.0,-0.156730055809021,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.01851937733590603,-1
14,70.0,-115.0,0.2923430491832137,0.0,0.0,0.0,1272.6795500783146,-0.8919987329935675,1.0,-0.15357814729213715,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.01783394254744053,-1
15,70.0,-115.0,0.2923430491832137,0.0,0.0,0.0,1272.6795500783146,-0.8919987329935675,1.0,-0.1513889878988266,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.02099248766899109,-1
16,70.0,-115.0,0.2923430491832137,0.0,0.0,0.0,1272.6795500783146,-0.8919987329935675,1.0,-0.15018446743488312,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.01955147460103035,-1
17,70.0,-115.0,0.2923430491832137,-1.3973601051276887e-06,-1.0814462460541008e-05,0.0,1272.6795500783146,-0.8919987329935675,1.0,-0.14997659623622894,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.01773490570485592,-1
18,70.0,-115.0,0.2923430491832137,-8.793151825152332e-07,-7.060888840447706e-06,0.0,1272.6795500783146,-0.8919987329935675,1.0,-0.1507674753665924,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.017312685027718544,-1
19,70.0,-115.0,0.2923430491832137,-6.77334898828896e-07,-4.2933956382867095e-06,0.0,1272.6795500783146,-0.8919987329935675,1.0,-0.15254919230937958,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.018744971603155136,-1
20,70.0,-115.0,0.2923435485259181,-0.00016288071980560681,8.012616433360914e-05,2.6703754837401875e-05,1272.6795500783146,-0.8919987329935675,1.0,-0.15530487895011902,0.0,72.28075408935547,-124.7672119140625,68.6229248046875,-106.86712646484375,0.018699344247579575,-1
21,70.00000762939453,-115.0,0.29234351523640445,-0.00012502463486577454,-0.0006809271140945422,-1.9739583527711085e-06,1272.6795589651938,-0.8919972101081052,1.0,-0.15900501608848572,0.0,72.28076171875,-124.7672119140625,68.6229248046875,-106.86712646484375,0.016864344477653503,-1
22,70.00001525878906,-114.99998474121094,0.2923434486573772,-7.355603801757756e-05,-0.0003682966011611604,-3.968065182946318e-06,1272.6795698347628,-0.8920106389341987,1.0,-0.1636134535074234,0.0,72.28077697753906,-124.7672119140625,68.62294006347656,-106.86712646484375,0.01677871309220791,-1
23,70.00001525878906,-114.9999771118164,0.29234338207835,-3.952003059234356e-05,-0.0001760099405384456,-3.999991838968747e-06,1272.6795696418023,-0.8920181147838843,1.0,-0.16908596456050873,0.0,72.28077697753906,-124.7672119140625,68.62294006347656,-106.86712646484375,0.016644790768623352,-1
